Record_ID,Time_min,Temperature_C,HeatFlow_mW
1,0.000,20.000,-0.330000
2,0.100,21.000,-0.329200
3,0.200,22.000,-0.328400
4,0.300,23.000,-0.327600
5,0.400,24.000,-0.326800
6,0.500,25.000,-0.326000
7,0.600,26.000,-0.325200
8,0.700,27.000,-0.324400
9,0.800,28.000,-0.323600
10,0.900,29.000,-0.322800
11,1.000,30.000,-0.322000
12,1.100,31.000,-0.321200
13,1.200,32.000,-0.320400
14,1.300,33.000,-0.319600
15,1.400,34.000,-0.318800
16,1.500,35.000,-0.318000
17,1.600,36.000,-0.317200
18,1.700,37.000,-0.316400
19,1.800,38.000,-0.315600
20,1.900,39.000,-0.314800
21,2.000,40.000,-0.314000
22,2.100,41.000,-0.313200
23,2.200,42.000,-0.312400
24,2.300,43.000,-0.311600
25,2.400,44.000,-0.310800
26,2.500,45.000,-0.310000
27,2.600,46.000,-0.309200
28,2.700,47.000,-0.308400
29,2.800,48.000,-0.307600
30,2.900,49.000,-0.306800
31,3.000,50.000,-0.306000
32,3.100,51.000,-0.305200
33,3.200,52.000,-0.304400
34,3.300,53.000,-0.303599
35,3.400,54.000,-0.302799
36,3.500,55.000,-0.301998
37,3.600,56.000,-0.301196
38,3.700,57.000,-0.300394
39,3.800,58.000,-0.299590
40,3.900,59.000,-0.298784
41,4.000,60.000,-0.297973
42,4.100,61.000,-0.297156
43,4.200,62.000,-0.296327
44,4.300,63.000,-0.295479
45,4.400,64.000,-0.294601
46,4.500,65.000,-0.293672
47,4.600,66.000,-0.292660
48,4.700,67.000,-0.291510
49,4.800,68.000,-0.290135
50,4.900,69.000,-0.288391
51,5.000,70.000,-0.286045
52,5.100,71.000,-0.282725
53,5.200,72.000,-0.277848
54,5.300,73.000,-0.270527
55,5.400,74.000,-0.259491
56,5.500,75.000,-0.243087
57,5.600,76.000,-0.219527
58,5.700,77.000,-0.187581
59,5.800,78.000,-0.147685
60,5.900,79.000,-0.102800
61,6.000,80.000,-0.057915
62,6.100,81.000,-0.018019
63,6.200,82.000,0.013927
64,6.300,83.000,0.037487
65,6.400,84.000,0.053891
66,6.500,85.000,0.064925
