Distance_mm,Force_N
0.000,0.00000
0.500,0.12317
1.000,0.19561
1.500,0.26161
2.000,0.32427
2.500,0.38776
3.000,0.45573
3.500,0.52992
4.000,0.60951
4.500,0.69160
5.000,0.77253
5.500,0.80215
6.000,0.79546
6.500,0.78573
7.000,0.77646
7.500,0.77153
8.000,0.77358
8.500,0.78289
9.000,0.79721
9.500,0.81267
10.000,0.82523
10.500,0.83231
11.000,0.83372
11.500,0.83167
12.000,0.82967
12.500,0.83104
13.000,0.83740
13.500,0.84791
14.000,0.85955
14.500,0.86833
15.000,0.87087
15.500,0.86584
16.000,0.85448
16.500,0.84014
17.000,0.82693
17.500,0.81814
18.000,0.81490
18.500,0.81587
19.000,0.81787
19.500,0.81733
20.000,0.81186
20.500,0.80138
21.000,0.78818
21.500,0.77615
22.000,0.76915
22.500,0.76950
23.000,0.77705
23.500,0.78920
24.000,0.80200
24.500,0.81172
25.000,0.81634
25.500,0.81628
26.000,0.81416
26.500,0.81360
27.000,0.81760
27.500,0.82722
28.000,0.84097
28.500,0.85538
29.000,0.86634
29.500,0.87068
30.000,0.86749
30.500,0.85841
31.000,0.84698
31.500,0.83713
32.000,0.83164
32.500,0.83102
33.000,0.83337
33.500,0.83523
34.000,0.83318
34.500,0.82528
35.000,0.81206
35.500,0.79636
36.000,0.78228
36.500,0.77359
37.000,0.77224
37.500,0.77761
38.000,0.78679
38.500,0.79579
39.000,0.80113
39.500,0.80110
40.000,0.79634
40.500,0.78931
41.000,0.78310
41.500,0.78011
42.000,0.78113
42.500,0.78527
43.000,0.79062
43.500,0.79527
44.000,0.79816
44.500,0.79953
45.000,0.80070
45.500,0.80350
46.000,0.80939
46.500,0.81867
47.000,0.83000
47.500,0.84064
48.000,0.84720
48.500,0.84696
49.000,0.83906
49.500,0.82499
50.000,0.80833
50.500,0.79346
51.000,0.78400
51.500,0.78149
52.000,0.78489
52.500,0.79111
53.000,0.79635
53.500,0.79777
54.000,0.79463
54.500,0.78866
55.000,0.78330
55.500,0.78223
56.000,0.78781
56.500,0.80001
57.000,0.81632
57.500,0.83271
58.000,0.84518
58.500,0.85129
59.000,0.85107
59.500,0.84689
60.000,0.84242
60.500,0.84098
61.000,0.84417
61.500,0.85110
62.000,0.85879
62.500,0.86339
63.000,0.86180
63.500,0.85299
64.000,0.83854
64.500,0.82201
65.000,0.80760
65.500,0.79852
66.000,0.79576
66.500,0.79780
67.000,0.80135
67.500,0.80280
68.000,0.79981
68.500,0.79235
69.000,0.78277
69.500,0.77483
70.000,0.77219
70.500,0.77684
71.000,0.78829
71.500,0.80366
72.000,0.81883
72.500,0.83005
73.000,0.83538
73.500,0.83539
74.000,0.83281
74.500,0.83129
75.000,0.83378
75.500,0.84122
76.000,0.85206
76.500,0.86285
77.000,0.86964
77.500,0.86955
78.000,0.86201
78.500,0.84900
79.000,0.83427
79.500,0.82188
80.000,0.81457
80.500,0.81274
81.000,0.81441
81.500,0.81611
82.000,0.81446
82.500,0.80766
83.000,0.79636
83.500,0.78345
84.000,0.77295
84.500,0.76840
85.000,0.77145
85.500,0.78112
86.000,0.79428
86.500,0.80684
87.000,0.79095
87.500,0.76362
88.000,0.73213
88.500,0.69952
89.000,0.66942
89.500,0.64435
90.000,0.62463
90.500,0.60812
91.000,0.59098
91.500,0.56924
92.000,0.54032
92.500,0.50409
93.000,0.46288
93.500,0.42053
94.000,0.38081
94.500,0.34593
95.000,0.31564
95.500,0.28747
96.000,0.25782
96.500,0.22355
97.000,0.18341
97.500,0.13865
98.000,0.09263
98.500,0.04953
99.000,0.01270
99.500,0.00000
100.000,0.00000
