Distance_mm,Force_N
0.000,0.00000
0.500,0.10372
1.000,0.17808
1.500,0.24809
2.000,0.31849
2.500,0.39422
3.000,0.47843
3.500,0.57134
4.000,0.67021
4.500,0.77049
5.000,0.86780
5.500,0.95967
6.000,0.96627
6.500,0.96207
7.000,0.96039
7.500,0.96498
8.000,0.97723
8.500,0.99551
9.000,1.01565
9.500,1.03251
10.000,1.04202
10.500,1.04270
11.000,1.03617
11.500,1.02642
12.000,1.01807
12.500,1.01447
13.000,1.01628
13.500,1.02126
14.000,1.02525
14.500,1.02399
15.000,1.01499
15.500,0.99867
16.000,0.97839
16.500,0.95912
17.000,0.94561
17.500,0.94051
18.000,0.94343
18.500,0.95119
19.000,0.95923
19.500,0.96355
20.000,0.96242
20.500,0.95704
21.000,0.95108
21.500,0.94903
22.000,0.95431
22.500,0.96771
23.000,0.98695
23.500,1.00748
24.000,1.02422
24.500,1.03349
25.000,1.03443
25.500,1.02921
26.000,1.02203
26.500,1.01726
27.000,1.01762
27.500,1.02300
28.000,1.03048
28.500,1.03562
29.000,1.03431
29.500,1.02458
30.000,1.00751
30.500,0.98693
31.000,0.96795
31.500,0.95501
32.000,0.95018
32.500,0.95245
33.000,0.95828
33.500,0.96316
34.000,0.96359
34.500,0.95858
35.000,0.95011
35.500,0.94227
36.000,0.93961
36.500,0.94514
37.000,0.95904
37.500,0.97845
38.000,0.99857
38.500,1.01445
39.000,1.02295
39.500,1.02385
40.000,1.01983
40.500,1.01520
41.000,1.01403
41.500,1.01834
42.000,1.02725
42.500,1.03723
43.000,1.04363
43.500,1.04258
44.000,1.03265
44.500,1.01555
45.000,0.99549
45.500,0.97758
46.000,0.96586
46.500,0.96174
47.000,0.96361
47.500,0.96762
48.000,0.96940
48.500,0.96603
49.000,0.95727
49.500,0.94580
50.000,0.93611
50.500,0.93268
51.000,0.93807
51.500,0.95184
52.000,0.97066
52.500,0.98955
53.000,1.00386
53.500,1.01104
54.000,1.01154
54.500,1.00850
55.000,1.00628
55.500,1.00855
56.000,1.01664
56.500,1.02886
57.000,1.04119
57.500,1.04885
58.000,1.04829
58.500,1.03865
59.000,1.02220
59.500,1.00345
60.000,0.98737
60.500,0.97748
61.000,0.97453
61.500,0.97631
62.000,0.97872
62.500,0.97762
63.000,0.97069
63.500,0.95847
64.000,0.94428
64.500,0.93290
65.000,0.92863
65.500,0.93356
66.000,0.94666
66.500,0.96416
67.000,0.98107
67.500,0.99313
68.000,0.99845
68.500,0.99817
69.000,0.99582
69.500,0.99576
70.000,1.00118
70.500,1.01266
71.000,1.02783
71.500,1.04221
72.000,1.05101
72.500,1.05107
73.000,1.04213
73.500,1.02694
74.000,1.01019
74.500,0.99663
75.000,0.98918
75.500,0.98784
76.000,0.98987
76.500,0.99098
77.000,0.98733
77.500,0.97725
78.000,0.96202
78.500,0.94553
79.000,0.93274
79.500,0.92770
80.000,0.93196
80.500,0.94391
81.000,0.95947
81.500,0.97375
82.000,0.98295
82.500,0.98593
83.000,0.98447
83.500,0.98249
84.000,0.98423
84.500,0.99236
85.000,1.00674
85.500,1.02433
86.000,1.03331
86.500,1.00791
87.000,0.97351
87.500,0.93044
88.000,0.88190
88.500,0.83266
89.000,0.78710
89.500,0.74747
90.000,0.71305
90.500,0.68055
91.000,0.64562
91.500,0.60476
92.000,0.55695
92.500,0.50420
93.000,0.45087
93.500,0.40197
94.000,0.36122
94.500,0.32958
95.000,0.30493
95.500,0.28295
96.000,0.25894
96.500,0.22969
97.000,0.19481
97.500,0.15674
98.000,0.11968
98.500,0.08769
99.000,0.06290
99.500,0.04444
100.000,0.00000
