Distance_mm,Force_N
0.000,0.00000
0.500,0.10423
1.000,0.17443
1.500,0.23872
2.000,0.29840
2.500,0.35624
3.000,0.41540
3.500,0.47807
4.000,0.54466
4.500,0.61366
5.000,0.66224
5.500,0.66083
6.000,0.65477
6.500,0.64445
7.000,0.63208
7.500,0.62090
8.000,0.61390
8.500,0.61263
9.000,0.61662
9.500,0.62363
10.000,0.63057
10.500,0.63480
11.000,0.63522
11.500,0.63268
12.000,0.62963
12.500,0.62899
13.000,0.63294
13.500,0.64191
14.000,0.65432
14.500,0.66718
15.000,0.67721
15.500,0.68216
16.000,0.68162
16.500,0.67717
17.000,0.67165
17.500,0.66796
18.000,0.66783
18.500,0.67107
19.000,0.67572
19.500,0.67883
20.000,0.67774
20.500,0.67123
21.000,0.66010
21.500,0.64689
22.000,0.63493
22.500,0.62704
23.000,0.62442
23.500,0.62626
24.000,0.63015
24.500,0.63311
25.000,0.63290
25.500,0.62900
26.000,0.62280
26.500,0.61708
27.000,0.61484
27.500,0.61801
28.000,0.62665
28.500,0.63883
29.000,0.65142
29.500,0.66125
30.000,0.66640
30.500,0.66688
31.000,0.66454
31.500,0.66226
32.000,0.66264
32.500,0.66690
33.000,0.67430
33.500,0.68240
34.000,0.68808
34.500,0.68879
35.000,0.68361
35.500,0.67370
36.000,0.66180
36.500,0.65118
37.000,0.64435
37.500,0.64208
38.000,0.64318
38.500,0.64505
39.000,0.64485
39.500,0.64076
40.000,0.63280
40.500,0.62288
41.000,0.61408
41.500,0.60940
42.000,0.61053
42.500,0.61720
43.000,0.62725
43.500,0.63751
44.000,0.64508
44.500,0.64846
45.000,0.64815
45.500,0.64632
46.000,0.64586
46.500,0.64911
47.000,0.65679
47.500,0.66763
48.000,0.67882
48.500,0.68713
49.000,0.69015
49.500,0.68729
50.000,0.67999
50.500,0.67108
51.000,0.66367
51.500,0.65984
52.000,0.65984
52.500,0.66204
53.000,0.66365
53.500,0.66195
54.000,0.65552
54.500,0.64487
55.000,0.63234
55.500,0.62121
56.000,0.61438
56.500,0.61329
57.000,0.61734
57.500,0.62418
58.000,0.63072
58.500,0.63442
59.000,0.63433
59.500,0.63145
60.000,0.62830
60.500,0.62781
61.000,0.63206
61.500,0.64133
62.000,0.65392
62.500,0.66675
63.000,0.67660
63.500,0.68130
64.000,0.68061
64.500,0.67622
65.000,0.67101
65.500,0.66782
66.000,0.66823
66.500,0.67193
67.000,0.67682
67.500,0.67991
68.000,0.67861
68.500,0.67184
69.000,0.66053
69.500,0.64733
70.000,0.63557
70.500,0.62796
71.000,0.62559
71.500,0.62751
72.000,0.63122
72.500,0.63377
73.000,0.63302
73.500,0.62861
74.000,0.62206
74.500,0.61624
75.000,0.61411
75.500,0.61749
76.000,0.62630
76.500,0.63849
77.000,0.65089
77.500,0.66040
78.000,0.66521
78.500,0.66547
79.000,0.66316
79.500,0.66117
80.000,0.66202
80.500,0.66680
81.000,0.67461
81.500,0.68292
82.000,0.68858
82.500,0.68912
83.000,0.68378
83.500,0.67383
84.000,0.66209
84.500,0.65181
85.000,0.64540
85.500,0.64348
86.000,0.64471
86.500,0.64644
87.000,0.64588
87.500,0.63107
88.000,0.59708
88.500,0.56130
89.000,0.52686
89.500,0.49670
90.000,0.47241
90.500,0.45357
91.000,0.43792
91.500,0.42226
92.000,0.40377
92.500,0.38112
93.000,0.35493
93.500,0.32748
94.000,0.30166
94.500,0.27972
95.000,0.26223
95.500,0.24778
96.000,0.23348
96.500,0.21611
97.000,0.19337
97.500,0.16480
98.000,0.13195
98.500,0.09772
99.000,0.06518
99.500,0.03627
100.000,0.00000
