Distance_mm,Force_N
0.000,0.00000
0.500,0.11689
1.000,0.22839
1.500,0.34354
2.000,0.46703
2.500,0.59961
3.000,0.73753
3.500,0.87393
4.000,1.00145
4.500,1.11522
5.000,1.21482
5.500,1.30446
6.000,1.39133
6.500,1.48276
7.000,1.49248
7.500,1.48890
8.000,1.49077
8.500,1.49180
9.000,1.48630
9.500,1.47177
10.000,1.45020
10.500,1.42747
11.000,1.41100
11.500,1.40688
12.000,1.41729
12.500,1.43965
13.000,1.46754
13.500,1.49326
14.000,1.51080
14.500,1.51808
15.000,1.51757
15.500,1.51499
16.000,1.51663
16.500,1.52652
17.000,1.54450
17.500,1.56610
18.000,1.58421
18.500,1.59197
19.000,1.58556
19.500,1.56579
20.000,1.53789
20.500,1.50949
21.000,1.48764
21.500,1.47616
22.000,1.47430
22.500,1.47735
23.000,1.47885
23.500,1.47354
24.000,1.45977
24.500,1.44039
25.000,1.42169
25.500,1.41090
26.000,1.41323
26.500,1.42966
27.000,1.45645
27.500,1.48652
28.000,1.51219
28.500,1.52810
29.000,1.53317
29.500,1.53078
30.000,1.52706
30.500,1.52812
31.000,1.53728
31.500,1.55350
32.000,1.57168
32.500,1.58467
33.000,1.58623
33.500,1.57366
34.000,1.54900
34.500,1.51836
35.000,1.48960
35.500,1.46931
36.000,1.46039
36.500,1.46107
37.000,1.46596
37.500,1.46856
38.000,1.46410
38.500,1.45181
39.000,1.43526
39.500,1.42106
40.000,1.41607
40.500,1.42451
41.000,1.44616
41.500,1.47620
42.000,1.50698
42.500,1.53090
43.000,1.54313
43.500,1.54311
44.000,1.53425
44.500,1.52197
45.000,1.51105
45.500,1.50350
46.000,1.49801
46.500,1.49105
47.000,1.47909
47.500,1.46070
48.000,1.43759
48.500,1.41424
49.000,1.39621
49.500,1.38813
50.000,1.39190
50.500,1.40587
51.000,1.42519
51.500,1.44333
52.000,1.45433
52.500,1.45510
53.000,1.44674
53.500,1.43436
54.000,1.42522
54.500,1.42596
55.000,1.43996
55.500,1.46582
56.000,1.49788
56.500,1.52827
57.000,1.54994
57.500,1.55930
58.000,1.55742
58.500,1.54936
59.000,1.54183
59.500,1.54025
60.000,1.54641
60.500,1.55766
61.000,1.56798
61.500,1.57059
62.000,1.56085
62.500,1.53840
63.000,1.50747
63.500,1.47544
64.000,1.45005
64.500,1.43646
65.000,1.43541
65.500,1.44313
66.000,1.45315
66.500,1.45913
67.000,1.45757
67.500,1.44937
68.000,1.43938
68.500,1.43437
69.000,1.44004
69.500,1.45855
70.000,1.48732
70.500,1.51989
71.000,1.54830
71.500,1.56610
72.000,1.57076
72.500,1.56445
73.000,1.55298
73.500,1.54317
74.000,1.53997
74.500,1.54434
75.000,1.55289
75.500,1.55935
76.000,1.55730
76.500,1.54304
77.000,1.51733
77.500,1.48534
78.000,1.45481
78.500,1.43310
79.000,1.42441
79.500,1.42833
80.000,1.44014
80.500,1.45300
81.000,1.46081
81.500,1.46083
82.000,1.45475
82.500,1.44793
83.000,1.44702
83.500,1.45702
84.000,1.46046
84.500,1.44447
85.000,1.42979
85.500,1.40857
86.000,1.37513
86.500,1.32810
87.000,1.27076
87.500,1.20953
88.000,1.15123
88.500,1.10022
89.000,1.05664
89.500,1.01641
90.000,0.97311
90.500,0.92080
91.000,0.85675
91.500,0.78281
92.000,0.70493
92.500,0.63099
93.000,0.56779
93.500,0.51847
94.000,0.48142
94.500,0.45106
95.000,0.42029
95.500,0.38342
96.000,0.33847
96.500,0.28794
97.000,0.23758
97.500,0.19384
98.000,0.16092
98.500,0.13879
99.000,0.12292
99.500,0.10587
100.000,0.00000
