Distance_mm,Force_N
0.000,0.00000
0.500,0.02742
1.000,0.14869
1.500,0.29085
2.000,0.44835
2.500,0.61134
3.000,0.76988
3.500,0.91792
4.000,1.05565
4.500,1.18908
5.000,1.32716
5.500,1.47758
6.000,1.64306
6.500,1.81971
7.000,1.99808
7.500,2.16670
8.000,2.31638
8.500,2.30754
9.000,2.28020
9.500,2.24364
10.000,2.20897
10.500,2.18474
11.000,2.17381
11.500,2.17256
12.000,2.17295
12.500,2.16632
13.000,2.14755
13.500,2.11765
14.000,2.08377
14.500,2.05655
15.000,2.04593
15.500,2.05714
16.000,2.08846
16.500,2.13176
17.000,2.17555
17.500,2.20937
18.000,2.22760
18.500,2.23130
19.000,2.22722
19.500,2.22449
20.000,2.23038
20.500,2.24692
21.000,2.26977
21.500,2.28985
22.000,2.29712
22.500,2.28478
23.000,2.25236
23.500,2.20627
24.000,2.15755
24.500,2.11781
25.000,2.09498
25.500,2.09053
26.000,2.09937
26.500,2.11239
27.000,2.12055
27.500,2.11888
28.000,2.10861
28.500,2.09664
29.000,2.09253
29.500,2.10421
30.000,2.13438
30.500,2.17886
31.000,2.22785
31.500,2.26943
32.000,2.29396
32.500,2.29763
33.000,2.28364
33.500,2.26053
34.000,2.23857
34.500,2.22536
35.000,2.22285
35.500,2.22674
36.000,2.22855
36.500,2.21962
37.000,2.19512
37.500,2.15665
38.000,2.11204
38.500,2.07266
39.000,2.04914
39.500,2.04731
40.000,2.06605
40.500,2.09787
41.000,2.13197
41.500,2.15858
42.000,2.17274
42.500,2.17596
43.000,2.17516
43.500,2.17926
44.000,2.19497
44.500,2.22351
45.000,2.25958
45.500,2.29313
46.000,2.31321
46.500,2.31216
47.000,2.28857
47.500,2.24760
48.000,2.19869
48.500,2.15152
49.000,2.11217
49.500,2.08113
50.000,2.05424
50.500,2.02582
51.000,1.99267
51.500,1.95667
52.000,1.92490
52.500,1.90713
53.000,1.91192
53.500,1.94305
54.000,1.99768
54.500,2.06677
55.000,2.13756
55.500,2.19736
56.000,2.23731
56.500,2.25498
57.000,2.25479
57.500,2.24592
58.000,2.23855
58.500,2.23971
59.000,2.25046
59.500,2.26557
60.000,2.27585
60.500,2.27216
61.000,2.24954
61.500,2.20966
62.000,2.16064
62.500,2.11415
63.000,2.08119
63.500,2.06799
64.000,2.07392
64.500,2.09214
65.000,2.11266
65.500,2.12669
66.000,2.13023
66.500,2.12568
67.000,2.12054
67.500,2.12400
68.000,2.14270
68.500,2.17745
69.000,2.22238
69.500,2.26685
70.000,2.29933
70.500,2.31178
71.000,2.30262
71.500,2.27716
72.000,2.24533
72.500,2.21757
73.000,2.20072
73.500,2.19545
74.000,2.19639
74.500,2.19481
75.000,2.18276
75.500,2.15689
76.000,2.12037
76.500,2.08202
77.000,2.05308
77.500,2.04282
78.000,2.05488
78.500,2.08583
79.000,2.12643
79.500,2.16530
80.000,2.19324
80.500,2.20665
81.000,2.20849
81.500,2.14919
82.000,2.09497
82.500,2.05158
83.000,2.01885
83.500,1.99041
84.000,1.95610
84.500,1.90603
85.000,1.83474
85.500,1.74357
86.000,1.64042
86.500,1.53681
87.000,1.44362
87.500,1.36708
88.000,1.30673
88.500,1.25611
89.000,1.20596
89.500,1.14841
90.000,1.08056
90.500,1.00587
91.000,0.93276
91.500,0.87108
92.000,0.82781
92.500,0.80382
93.000,0.79315
93.500,0.78495
94.000,0.76743
94.500,0.73227
95.000,0.67747
95.500,0.60781
96.000,0.53245
96.500,0.46093
97.000,0.39906
97.500,0.34652
98.000,0.29715
98.500,0.24174
99.000,0.17221
99.500,0.08542
100.000,0.00000
