Distance_mm,Force_N
0.000,0.00000
0.500,0.07010
1.000,0.15370
1.500,0.23661
2.000,0.32447
2.500,0.42177
3.000,0.52993
3.500,0.64671
4.000,0.76705
4.500,0.88502
5.000,0.99616
5.500,1.09913
6.000,1.17644
6.500,1.17370
7.000,1.17449
7.500,1.18186
8.000,1.19555
8.500,1.21200
9.000,1.22571
9.500,1.23144
10.000,1.22640
10.500,1.21138
11.000,1.19051
11.500,1.16965
12.000,1.15405
12.500,1.14639
13.000,1.14580
13.500,1.14842
14.000,1.14918
14.500,1.14409
15.000,1.13205
15.500,1.11545
16.000,1.09931
16.500,1.08927
17.000,1.08933
17.500,1.10016
18.000,1.11884
18.500,1.13996
19.000,1.15776
19.500,1.16840
20.000,1.17136
20.500,1.16949
21.000,1.16766
21.500,1.17053
22.000,1.18045
22.500,1.19634
23.000,1.21400
23.500,1.22771
24.000,1.23256
24.500,1.22643
25.000,1.21086
25.500,1.19051
26.000,1.17124
26.500,1.15785
27.000,1.15223
27.500,1.15274
28.000,1.15506
28.500,1.15419
29.000,1.14667
29.500,1.13223
30.000,1.11401
30.500,1.09742
31.000,1.08799
31.500,1.08914
32.000,1.10080
32.500,1.11938
33.000,1.13925
33.500,1.15496
34.000,1.16334
34.500,1.16470
35.000,1.16252
35.500,1.16179
36.000,1.16681
36.500,1.17920
37.000,1.19706
37.500,1.21561
38.000,1.22907
38.500,1.23292
39.000,1.22577
39.500,1.20988
40.000,1.19025
40.500,1.17254
41.000,1.16076
41.500,1.15559
42.000,1.15400
42.500,1.15052
43.000,1.13949
43.500,1.11767
44.000,1.08603
44.500,1.05004
45.000,1.01808
45.500,0.99859
46.000,0.99688
46.500,1.01310
47.000,1.04212
47.500,1.07566
48.000,1.10553
48.500,1.12662
49.000,1.13843
49.500,1.14452
50.000,1.15037
50.500,1.16061
51.000,1.17689
51.500,1.19717
52.000,1.21661
52.500,1.22969
53.000,1.23253
53.500,1.22453
54.000,1.20867
54.500,1.19031
55.000,1.17502
55.500,1.16639
56.000,1.16468
56.500,1.16683
57.000,1.16792
57.500,1.16341
58.000,1.15114
58.500,1.13251
59.000,1.11195
59.500,1.09535
60.000,1.08764
60.500,1.09092
61.000,1.10359
61.500,1.12105
62.000,1.13755
62.500,1.14852
63.000,1.15237
63.500,1.15098
64.000,1.14880
64.500,1.15079
65.000,1.16022
65.500,1.17713
66.000,1.19808
66.500,1.21749
67.000,1.22974
67.500,1.23143
68.000,1.22269
68.500,1.20709
69.000,1.19019
69.500,1.17722
70.000,1.17107
70.500,1.17116
71.000,1.17381
71.500,1.17400
72.000,1.16753
72.500,1.15304
73.000,1.13267
73.500,1.11143
74.000,1.09523
74.500,1.08858
75.000,1.09283
75.500,1.10566
76.000,1.12209
76.500,1.13650
77.000,1.14492
77.500,1.14658
78.000,1.14408
78.500,1.14222
79.000,1.14578
79.500,1.15738
80.000,1.17625
80.500,1.19829
81.000,1.21765
81.500,1.22900
82.000,1.22958
82.500,1.22030
83.000,1.20527
83.500,1.19011
84.000,1.17964
84.500,1.17597
85.000,1.17769
85.500,1.15713
86.000,1.11704
86.500,1.06941
87.000,1.01363
87.500,0.95264
88.000,0.89186
88.500,0.83713
89.000,0.79243
89.500,0.75834
90.000,0.73188
90.500,0.70780
91.000,0.68071
91.500,0.64732
92.000,0.60770
92.500,0.56511
93.000,0.52459
93.500,0.49061
94.000,0.46512
94.500,0.44651
95.000,0.43012
95.500,0.40995
96.000,0.38105
96.500,0.34138
97.000,0.29257
97.500,0.23921
98.000,0.18686
98.500,0.13983
99.000,0.09939
99.500,0.06339
100.000,0.00000
