Distance_mm,Force_N
0.000,0.00000
0.500,0.17812
1.000,0.28912
1.500,0.40496
2.000,0.52911
2.500,0.66017
3.000,0.79245
3.500,0.91835
4.000,1.03168
4.500,1.13040
5.000,1.21774
5.500,1.30117
6.000,1.38961
6.500,1.49010
7.000,1.59319
7.500,1.60009
8.000,1.61236
8.500,1.62249
9.000,1.62525
9.500,1.61989
10.000,1.61046
10.500,1.60403
11.000,1.60758
11.500,1.62488
12.000,1.65468
12.500,1.69086
13.000,1.72468
13.500,1.74802
14.000,1.75646
14.500,1.75082
15.000,1.73657
15.500,1.72142
16.000,1.71202
16.500,1.71120
17.000,1.71685
17.500,1.72290
18.000,1.72207
18.500,1.70913
19.000,1.68334
19.500,1.64911
20.000,1.61449
20.500,1.58819
21.000,1.57625
21.500,1.57982
22.000,1.59486
22.500,1.61399
23.000,1.62958
23.500,1.63689
24.000,1.63594
24.500,1.63137
25.000,1.63025
25.500,1.63889
26.000,1.65993
26.500,1.69090
27.000,1.72492
27.500,1.75319
28.000,1.76842
28.500,1.76754
29.000,1.75285
29.500,1.73093
30.000,1.70990
30.500,1.69612
31.000,1.69169
31.500,1.69372
32.000,1.69586
32.500,1.69116
33.000,1.67530
33.500,1.64870
34.000,1.61671
34.500,1.58763
35.000,1.56962
35.500,1.56747
36.000,1.58079
36.500,1.60423
37.000,1.62968
37.500,1.64957
38.000,1.65980
38.500,1.66125
39.000,1.65914
39.500,1.66052
40.000,1.67108
40.500,1.69242
41.000,1.72106
41.500,1.74963
42.000,1.76965
42.500,1.77488
43.000,1.76377
43.500,1.74010
44.000,1.71142
44.500,1.68609
45.000,1.66997
45.500,1.66427
46.000,1.66531
46.500,1.66641
47.000,1.66095
47.500,1.64546
48.000,1.62136
48.500,1.59464
49.000,1.57360
49.500,1.56554
50.000,1.57384
50.500,1.59655
51.000,1.62712
51.500,1.65694
52.000,1.67871
52.500,1.68919
53.000,1.69021
53.500,1.68761
54.000,1.68847
54.500,1.69785
55.000,1.71644
55.500,1.73999
56.000,1.76091
56.500,1.77127
57.000,1.76609
57.500,1.74539
58.000,1.71430
58.500,1.68118
59.000,1.65430
59.500,1.63881
60.000,1.63487
60.500,1.63792
61.000,1.64092
61.500,1.63757
62.000,1.62518
62.500,1.60600
63.000,1.58646
63.500,1.57456
64.000,1.57660
64.500,1.59446
65.000,1.62473
65.500,1.65982
66.000,1.69095
66.500,1.71137
67.000,1.71890
67.500,1.71646
68.000,1.71054
68.500,1.70823
69.000,1.71405
69.500,1.72784
70.000,1.74477
70.500,1.75723
71.000,1.75806
71.500,1.74360
72.000,1.71538
72.500,1.67973
73.000,1.64545
73.500,1.62049
74.000,1.60897
74.500,1.60984
75.000,1.61761
75.500,1.62489
76.000,1.62569
76.500,1.61805
77.000,1.60492
77.500,1.59300
78.000,1.58985
78.500,1.60062
79.000,1.62577
79.500,1.66055
80.000,1.69668
80.500,1.72549
81.000,1.74112
81.500,1.74263
82.000,1.73414
82.500,1.72279
83.000,1.71567
83.500,1.67717
84.000,1.63605
84.500,1.59687
85.000,1.55217
85.500,1.49564
86.000,1.42494
86.500,1.34297
87.000,1.25697
87.500,1.17587
88.000,1.10692
88.500,1.05300
89.000,1.01174
89.500,0.97666
90.000,0.94009
90.500,0.89640
91.000,0.84435
91.500,0.78755
92.000,0.73284
92.500,0.68722
93.000,0.65474
93.500,0.63450
94.000,0.62070
94.500,0.60468
95.000,0.57824
95.500,0.53666
96.000,0.48045
96.500,0.41491
97.000,0.34782
97.500,0.28615
98.000,0.23319
98.500,0.18730
99.000,0.14275
99.500,0.09230
100.000,0.00000
