Extension_mm,Force_N
0.000,0.00000
0.100,0.07750
0.200,0.15500
0.300,0.22153
0.400,0.30104
0.500,0.38140
0.600,0.46234
0.700,0.54354
0.800,0.62464
0.900,0.70529
1.000,0.78521
1.100,0.86414
1.200,0.94197
1.300,1.01866
1.400,1.09429
1.500,1.16902
1.600,1.24314
1.700,1.31696
1.800,1.39083
1.900,1.46509
2.000,1.54007
2.100,1.61599
2.200,1.69300
2.300,1.77116
2.400,1.85041
2.500,1.93056
2.600,2.01138
2.700,2.09254
2.800,2.17370
2.900,2.25451
3.000,2.33465
3.100,2.41386
3.200,2.49200
3.300,2.56899
3.400,2.64488
3.500,2.71984
3.600,2.79409
3.700,2.86796
3.800,2.94178
3.900,3.01590
4.000,3.09066
4.100,3.16631
4.200,3.24302
4.300,3.32088
4.400,3.39984
4.500,3.47977
4.600,3.56044
4.700,3.64155
4.800,3.72274
4.900,3.80367
5.000,3.80244
5.100,3.79128
5.200,3.77908
5.300,3.76573
5.400,3.75127
5.500,3.73581
5.600,3.71958
5.700,3.70287
5.800,3.68603
5.900,3.66939
6.000,3.65331
6.100,3.63805
6.200,3.62383
6.300,3.61073
6.400,3.62158
6.500,3.63597
6.600,3.65117
6.700,3.66689
6.800,3.68279
6.900,3.69853
7.000,3.71376
7.100,3.72820
7.200,3.74163
7.300,3.75393
7.400,3.76511
7.500,3.77524
7.600,3.78453
7.700,3.79326
7.800,3.80176
7.900,3.81038
8.000,3.81947
8.100,3.82931
8.200,3.84013
8.300,3.85207
8.400,3.86515
8.500,3.87929
8.600,3.89430
8.700,3.90991
8.800,3.92580
8.900,3.94161
9.000,3.95701
9.100,3.97169
9.200,3.98541
9.300,3.99802
9.400,4.00949
9.500,4.01989
9.600,4.02938
9.700,4.03823
9.800,4.04676
9.900,4.05531
10.000,4.06424
10.100,4.07385
10.200,4.08440
10.300,4.09603
10.400,4.10881
10.500,4.12268
10.600,4.13747
10.700,4.15295
10.800,4.16880
10.900,4.18467
11.000,4.20021
11.100,4.21511
11.200,4.22910
11.300,4.24202
11.400,4.25379
11.500,4.26447
11.600,4.27418
11.700,4.28318
11.800,4.29176
11.900,4.30027
12.000,4.30906
12.100,4.31846
12.200,4.32874
12.300,4.34007
12.400,4.35254
12.500,4.36613
12.600,4.38070
12.700,4.39602
12.800,4.41180
12.900,4.42770
13.000,4.44337
13.100,4.45847
13.200,4.47272
13.300,4.48594
13.400,4.49802
13.500,4.50898
13.600,4.51893
13.700,4.52809
13.800,4.53675
13.900,4.54525
14.000,4.55393
14.100,4.56314
14.200,4.57316
14.300,4.58419
14.400,4.59636
14.500,4.60965
14.600,4.62398
14.700,4.63912
14.800,4.65482
14.900,4.67072
15.000,4.68648
15.100,4.70176
15.200,4.71627
15.300,4.72978
15.400,4.74217
15.500,4.75342
15.600,4.76362
15.700,4.77297
15.800,4.78173
15.900,4.79024
16.000,4.79884
16.100,4.80787
16.200,4.81765
16.300,4.82840
16.400,4.84025
16.500,4.85325
16.600,4.86732
16.700,4.88227
16.800,4.85408
16.900,4.77002
17.000,4.66999
17.100,4.55886
17.200,4.43870
17.300,4.31070
17.400,4.17565
17.500,4.03421
17.600,3.88696
17.700,3.73450
17.800,3.57742
17.900,3.41631
18.000,3.25176
18.100,3.08434
18.200,2.91454
18.300,2.74276
18.400,2.56931
18.500,2.39439
18.600,2.21805
18.700,2.04025
18.800,1.86084
18.900,1.67959
19.000,1.49623
19.100,1.31049
19.200,1.12211
19.300,0.93089
19.400,0.02400
19.500,0.02000
19.600,0.01600
19.700,0.01200
19.800,0.00800
19.900,0.00400
20.000,0.00000
