Extension_mm,Force_N
0.000,0.00000
0.100,0.08650
0.200,0.17300
0.300,0.26006
0.400,0.35019
0.500,0.43992
0.600,0.52894
0.700,0.61702
0.800,0.70400
0.900,0.78983
1.000,0.87458
1.100,0.95842
1.200,1.04160
1.300,1.12444
1.400,1.20728
1.500,1.29048
1.600,1.37434
1.700,1.45913
1.800,1.54500
1.900,1.63202
2.000,1.72013
2.100,1.80918
2.200,1.89893
2.300,1.98906
2.400,2.07924
2.500,2.16911
2.600,2.25835
2.700,2.34670
2.800,2.43398
2.900,2.52012
3.000,2.60515
3.100,2.68921
3.200,2.77254
3.300,2.85543
3.400,2.93824
3.500,3.02131
3.600,3.10497
3.700,3.18949
3.800,3.27506
3.900,3.36177
4.000,3.44959
4.100,3.53841
4.200,3.62800
4.300,3.71807
4.400,3.80827
4.500,3.89826
4.600,3.98770
4.700,4.07630
4.800,4.16388
4.900,4.25033
5.000,4.33565
5.100,4.41995
5.200,4.50345
5.300,4.58643
5.400,4.63881
5.500,4.62042
5.600,4.60253
5.700,4.58544
5.800,4.56936
5.900,4.55441
6.000,4.54058
6.100,4.52780
6.200,4.51585
6.300,4.50446
6.400,4.49331
6.500,4.48203
6.600,4.47029
6.700,4.45778
6.800,4.45277
6.900,4.46643
7.000,4.47894
7.100,4.49040
7.200,4.50099
7.300,4.51097
7.400,4.52068
7.500,4.53047
7.600,4.54067
7.700,4.55160
7.800,4.56349
7.900,4.57648
8.000,4.59062
8.100,4.60583
8.200,4.62193
8.300,4.63869
8.400,4.65576
8.500,4.67280
8.600,4.68948
8.700,4.70546
8.800,4.72051
8.900,4.73447
9.000,4.74729
9.100,4.75901
9.200,4.76981
9.300,4.77993
9.400,4.78968
9.500,4.79941
9.600,4.80947
9.700,4.82018
9.800,4.83179
9.900,4.84448
10.000,4.85831
10.100,4.87324
10.200,4.88913
10.300,4.90574
10.400,4.92276
10.500,4.93985
10.600,4.95665
10.700,4.97285
10.800,4.98817
10.900,5.00243
11.000,5.01555
11.100,5.02756
11.200,5.03859
11.300,5.04886
11.400,5.05868
11.500,5.06838
11.600,5.07831
11.700,5.08882
11.800,5.10017
11.900,5.11256
12.000,5.12608
12.100,5.14073
12.200,5.15638
12.300,5.17283
12.400,5.18977
12.500,5.20687
12.600,5.22379
12.700,5.24017
12.800,5.25575
12.900,5.27031
13.000,5.28374
13.100,5.29604
13.200,5.30731
13.300,5.31776
13.400,5.32766
13.500,5.33736
13.600,5.34720
13.700,5.35752
13.800,5.36862
13.900,5.38072
14.000,5.39394
14.100,5.40829
14.200,5.42369
14.300,5.43995
14.400,5.45679
14.500,5.47388
14.600,5.49088
14.700,5.50744
14.800,5.52326
14.900,5.53811
15.000,5.55185
15.100,5.56444
15.200,5.57597
15.300,5.58662
15.400,5.59664
15.500,5.60636
15.600,5.61612
15.700,5.62628
15.800,5.63715
15.900,5.64896
16.000,5.66187
16.100,5.67593
16.200,5.69106
16.300,5.70711
16.400,5.72382
16.500,5.74089
16.600,5.75795
16.700,5.77466
16.800,5.79070
16.900,5.80582
17.000,5.81987
17.100,5.83277
17.200,5.84457
17.300,5.85543
17.400,5.84987
17.500,5.73682
17.600,5.59437
17.700,5.43494
17.800,5.26326
17.900,5.08203
18.000,4.89297
18.100,4.69728
18.200,4.49575
18.300,4.28890
18.400,4.07701
18.500,3.86021
18.600,3.63852
18.700,3.41191
18.800,3.18030
18.900,2.94367
19.000,2.70204
19.100,2.45549
19.200,2.20421
19.300,1.94848
19.400,1.68865
19.500,1.42514
19.600,1.15841
19.700,0.01200
19.800,0.00800
19.900,0.00400
20.000,0.00000
