Extension_mm,Force_N
0.000,0.00000
0.100,0.06400
0.200,0.12800
0.300,0.18975
0.400,0.25026
0.500,0.31132
0.600,0.37321
0.700,0.43612
0.800,0.50017
0.900,0.56534
1.000,0.63153
1.100,0.69853
1.200,0.76605
1.300,0.83376
1.400,0.90129
1.500,0.96833
1.600,1.03457
1.700,1.09980
1.800,1.16390
1.900,1.22688
2.000,1.28881
2.100,1.34991
2.200,1.41044
2.300,1.47074
2.400,1.53116
2.500,1.59204
2.600,1.65368
2.700,1.71630
2.800,1.78004
2.900,1.84492
3.000,1.91086
3.100,1.97766
3.200,2.04507
3.300,2.11276
3.400,2.18038
3.500,2.24758
3.600,2.31406
3.700,2.37957
3.800,2.44399
3.900,2.50726
4.000,2.56946
4.100,2.63076
4.200,2.69141
4.300,2.69208
4.400,2.67786
4.500,2.66401
4.600,2.65085
4.700,2.63862
4.800,2.62749
4.900,2.61749
5.000,2.60858
5.100,2.60061
5.200,2.59332
5.300,2.58639
5.400,2.57949
5.500,2.57227
5.600,2.56439
5.700,2.57239
5.800,2.58351
5.900,2.59349
6.000,2.60236
6.100,2.61028
6.200,2.61747
6.300,2.62425
6.400,2.63096
6.500,2.63796
6.600,2.64556
6.700,2.65403
6.800,2.66356
6.900,2.67423
7.000,2.68602
7.100,2.69878
7.200,2.71231
7.300,2.72629
7.400,2.74039
7.500,2.75425
7.600,2.76755
7.700,2.78001
7.800,2.79143
7.900,2.80171
8.000,2.81087
8.100,2.81902
8.200,2.82639
8.300,2.83325
8.400,2.83994
8.500,2.84682
8.600,2.85423
8.700,2.86245
8.800,2.87168
8.900,2.88205
9.000,2.89354
9.100,2.90606
9.200,2.91941
9.300,2.93330
9.400,2.94741
9.500,2.96137
9.600,2.97485
9.700,2.98755
9.800,2.99926
9.900,3.00986
10.000,3.01931
10.100,3.02772
10.200,3.03526
10.300,3.04223
10.400,3.04893
10.500,3.05573
10.600,3.06297
10.700,3.07094
10.800,3.07989
10.900,3.08994
11.000,3.10114
11.100,3.11340
11.200,3.12655
11.300,3.14033
11.400,3.15441
11.500,3.16844
11.600,3.18209
11.700,3.19502
11.800,3.20702
11.900,3.21792
12.000,3.22767
12.100,3.23634
12.200,3.24410
12.300,3.25119
12.400,3.25793
12.500,3.26467
12.600,3.27175
12.700,3.27951
12.800,3.28817
12.900,3.29792
13.000,3.30882
13.100,3.32081
13.200,3.33374
13.300,3.34738
13.400,3.36141
13.500,3.37549
13.600,3.38927
13.700,3.40243
13.800,3.41469
13.900,3.42590
14.000,3.43596
14.100,3.44491
14.200,3.45289
14.300,3.46013
14.400,3.46693
14.500,3.47363
14.600,3.48059
14.700,3.48814
14.800,3.49654
14.900,3.50599
15.000,3.51657
15.100,3.52828
15.200,3.54098
15.300,3.55446
15.400,3.56842
15.500,3.58252
15.600,3.59642
15.700,3.60977
15.800,3.61471
15.900,3.56966
16.000,3.51109
16.100,3.44411
16.200,3.37067
16.300,3.29202
16.400,3.20910
16.500,3.12270
16.600,3.03354
16.700,2.94222
16.800,2.84926
16.900,2.75505
17.000,2.65986
17.100,2.56383
17.200,2.46699
17.300,2.36923
17.400,2.27037
17.500,2.17016
17.600,2.06830
17.700,1.96453
17.800,1.85861
17.900,1.75035
18.000,1.63968
18.100,1.52661
18.200,1.41126
18.300,1.29387
18.400,1.17472
18.500,1.05418
18.600,0.93263
18.700,0.81044
18.800,0.68795
18.900,0.04400
19.000,0.04000
19.100,0.03600
19.200,0.03200
19.300,0.02800
19.400,0.02400
19.500,0.02000
19.600,0.01600
19.700,0.01200
19.800,0.00800
19.900,0.00400
20.000,0.00000
