Extension_mm,Force_N
0.000,0.00000
0.100,0.06850
0.200,0.13700
0.300,0.19699
0.400,0.26331
0.500,0.33066
0.600,0.39913
0.700,0.46873
0.800,0.53937
0.900,0.61082
1.000,0.68281
1.100,0.75502
1.200,0.82708
1.300,0.89865
1.400,0.96945
1.500,1.03925
1.600,1.10793
1.700,1.17548
1.800,1.24197
1.900,1.30762
2.000,1.37267
2.100,1.43748
2.200,1.50238
2.300,1.56772
2.400,1.63380
2.500,1.70086
2.600,1.76902
2.700,1.83833
2.800,1.90870
2.900,1.97996
3.000,2.05184
3.100,2.12402
3.200,2.19616
3.300,2.26789
3.400,2.33892
3.500,2.40901
3.600,2.47800
3.700,2.54584
3.800,2.61260
3.900,2.67845
4.000,2.74364
4.100,2.80848
4.200,2.87332
4.300,2.93851
4.400,3.00437
4.500,3.03118
4.600,3.01911
4.700,3.00818
4.800,2.99835
4.900,2.98947
5.000,2.98128
5.100,2.97349
5.200,2.96574
5.300,2.95769
5.400,2.94901
5.500,2.93944
5.600,2.92880
5.700,2.91702
5.800,2.90413
5.900,2.90149
6.000,2.90933
6.100,2.91672
6.200,2.92403
6.300,2.93159
6.400,2.93974
6.500,2.94875
6.600,2.95881
6.700,2.97001
6.800,2.98232
6.900,2.99563
7.000,3.00972
7.100,3.02428
7.200,3.03898
7.300,3.05347
7.400,3.06742
7.500,3.08054
7.600,3.09263
7.700,3.10358
7.800,3.11341
7.900,3.12223
8.000,3.13023
8.100,3.13771
8.200,3.14501
8.300,3.15247
8.400,3.16043
8.500,3.16919
8.600,3.17896
8.700,3.18984
8.800,3.20187
8.900,3.21493
9.000,3.22883
9.100,3.24330
9.200,3.25800
9.300,3.27258
9.400,3.28670
9.500,3.30006
9.600,3.31244
9.700,3.32371
9.800,3.33383
9.900,3.34290
10.000,3.35110
10.100,3.35869
10.200,3.36600
10.300,3.37338
10.400,3.38118
10.500,3.38970
10.600,3.39918
10.700,3.40976
10.800,3.42148
10.900,3.43428
11.000,3.44798
11.100,3.46233
11.200,3.47700
11.300,3.49165
11.400,3.50592
11.500,3.51952
11.600,3.53218
11.700,3.54375
11.800,3.55418
11.900,3.56352
12.000,3.57192
12.100,3.57965
12.200,3.58700
12.300,3.59433
12.400,3.60198
12.500,3.61028
12.600,3.61948
12.700,3.62976
12.800,3.64118
12.900,3.65370
13.000,3.66718
13.100,3.68138
13.200,3.69600
13.300,3.71069
13.400,3.72510
13.500,3.73890
13.600,3.75183
13.700,3.76371
13.800,3.77444
13.900,3.78406
14.000,3.79270
14.100,3.80058
14.200,3.80799
14.300,3.81529
14.400,3.82283
14.500,3.83093
14.600,3.83987
14.700,3.84984
14.800,3.86096
14.900,3.87319
15.000,3.88644
15.100,3.90047
15.200,3.91501
15.300,3.92972
15.400,3.94423
15.500,3.95823
15.600,3.97141
15.700,3.98358
15.800,3.99463
15.900,4.00454
16.000,4.01342
16.100,4.02147
16.200,3.96905
16.300,3.89790
16.400,3.81753
16.500,3.73084
16.600,3.63948
16.700,3.54452
16.800,3.44668
16.900,3.34642
17.000,3.24399
17.100,3.13947
17.200,3.03281
17.300,2.92388
17.400,2.81248
17.500,2.69841
17.600,2.58149
17.700,2.46159
17.800,2.33867
17.900,2.21278
18.000,2.08408
18.100,1.95280
18.200,1.81929
18.300,1.68390
18.400,1.54706
18.500,1.40915
18.600,1.27053
18.700,1.13149
18.800,0.99222
18.900,0.85280
19.000,0.72284
19.100,0.03600
19.200,0.03200
19.300,0.02800
19.400,0.02400
19.500,0.02000
19.600,0.01600
19.700,0.01200
19.800,0.00800
19.900,0.00400
20.000,0.00000
