Extension_mm,Force_N
0.000,0.00000
0.100,0.08200
0.200,0.16400
0.300,0.23970
0.400,0.32511
0.500,0.41080
0.600,0.49642
0.700,0.58161
0.800,0.66608
0.900,0.74958
1.000,0.83199
1.100,0.91325
1.200,0.99344
1.300,1.07272
1.400,1.15137
1.500,1.22970
1.600,1.30805
1.700,1.38678
1.800,1.46620
1.900,1.54656
2.000,1.62800
2.100,1.71059
2.200,1.79426
2.300,1.87887
2.400,1.96415
2.500,2.04980
2.600,2.13547
2.700,2.22081
2.800,2.30550
2.900,2.38928
3.000,2.47199
3.100,2.55356
3.200,2.63402
3.300,2.71353
3.400,2.79232
3.500,2.87070
3.600,2.94901
3.700,3.02761
3.800,3.10681
3.900,3.18690
4.000,3.26804
4.100,3.35032
4.200,3.43372
4.300,3.51809
4.400,3.60322
4.500,3.68881
4.600,3.77451
4.700,3.85997
4.800,3.94486
4.900,4.02891
5.000,4.11191
5.100,4.19378
5.200,4.21693
5.300,4.20068
5.400,4.18363
5.500,4.16609
5.600,4.14838
5.700,4.13087
5.800,4.11389
5.900,4.09771
6.000,4.08256
6.100,4.06853
6.200,4.05564
6.300,4.04377
6.400,4.03272
6.500,4.02222
6.600,4.02800
6.700,4.04436
6.800,4.06024
6.900,4.07533
7.000,4.08943
7.100,4.10241
7.200,4.11425
7.300,4.12505
7.400,4.13499
7.500,4.14435
7.600,4.15345
7.700,4.16265
7.800,4.17230
7.900,4.18268
8.000,4.19404
8.100,4.20651
8.200,4.22011
8.300,4.23479
8.400,4.25034
8.500,4.26653
8.600,4.28301
8.700,4.29944
8.800,4.31548
8.900,4.33081
9.000,4.34519
9.100,4.35848
9.200,4.37062
9.300,4.38168
9.400,4.39183
9.500,4.40131
9.600,4.41045
9.700,4.41959
9.800,4.42908
9.900,4.43924
10.000,4.45032
10.100,4.46248
10.200,4.47579
10.300,4.49019
10.400,4.50553
10.500,4.52158
10.600,4.53801
10.700,4.55449
10.800,4.57067
10.900,4.58621
11.000,4.60087
11.100,4.61446
11.200,4.62691
11.300,4.63825
11.400,4.64862
11.500,4.65825
11.600,4.66745
11.700,4.67655
11.800,4.68592
11.900,4.69587
12.000,4.70668
12.100,4.71854
12.200,4.73154
12.300,4.74566
12.400,4.76077
12.500,4.77665
12.600,4.79302
12.700,4.80952
12.800,4.82581
12.900,4.84155
13.000,4.85647
13.100,4.87036
13.200,4.88311
13.300,4.89474
13.400,4.90535
13.500,4.91516
13.600,4.92444
13.700,4.93353
13.800,4.94279
13.900,4.95256
14.000,4.96312
14.100,4.97468
14.200,4.98737
14.300,5.00120
14.400,5.01606
14.500,5.03176
14.600,5.04803
14.700,5.06453
14.800,5.08091
14.900,5.09683
15.000,5.11200
15.100,5.12617
15.200,5.13924
15.300,5.15116
15.400,5.16203
15.500,5.17202
15.600,5.18141
15.700,5.19053
15.800,5.19971
15.900,5.20931
16.000,5.21963
16.100,5.23091
16.200,5.24329
16.300,5.25682
16.400,5.27142
16.500,5.28692
16.600,5.30306
16.700,5.31954
16.800,5.33598
16.900,5.35206
17.000,5.36745
17.100,5.35072
17.200,5.25253
17.300,5.13193
17.400,4.99669
17.500,4.85018
17.600,4.69451
17.700,4.53121
17.800,4.36151
17.900,4.18641
18.000,4.00676
18.100,3.82323
18.200,3.63635
18.300,3.44648
18.400,3.25384
18.500,3.05849
18.600,2.86040
18.700,2.65942
18.800,2.45538
18.900,2.24804
19.000,2.03721
19.100,1.82274
19.200,1.60455
19.300,1.38263
19.400,1.15712
19.500,0.02000
19.600,0.01600
19.700,0.01200
19.800,0.00800
19.900,0.00400
20.000,0.00000
