Extension_mm,Force_N
0.000,0.00000
0.100,0.09100
0.200,0.18200
0.300,0.28023
0.400,0.37381
0.500,0.46645
0.600,0.55800
0.700,0.64841
0.800,0.73772
0.900,0.82612
1.000,0.91383
1.100,1.00118
1.200,1.08851
1.300,1.17617
1.400,1.26449
1.500,1.35371
1.600,1.44401
1.700,1.53545
1.800,1.62799
1.900,1.72149
2.000,1.81570
2.100,1.91032
2.200,2.00501
2.300,2.09941
2.400,2.19320
2.500,2.28611
2.600,2.37796
2.700,2.46868
2.800,2.55827
2.900,2.64689
3.000,2.73476
3.100,2.82217
3.200,2.90947
3.300,2.99702
3.400,3.08513
3.500,3.17409
3.600,3.26408
3.700,3.35522
3.800,3.44748
3.900,3.54074
4.000,3.63479
4.100,3.72933
4.200,3.82404
4.300,3.91855
4.400,4.01253
4.500,4.10570
4.600,4.19785
4.700,4.28887
4.800,4.37875
4.900,4.46762
5.000,4.55566
5.100,4.64316
5.200,4.73046
5.300,4.81790
5.400,4.90583
5.500,4.99454
5.600,5.08424
5.700,5.06836
5.800,5.05360
5.900,5.03990
6.000,5.02705
6.100,5.01478
6.200,5.00276
6.300,4.99064
6.400,4.97808
6.500,4.96478
6.600,4.95050
6.700,4.93512
6.800,4.91859
6.900,4.90100
7.000,4.88252
7.100,4.89314
7.200,4.90345
7.300,4.91382
7.400,4.92459
7.500,4.93606
7.600,4.94848
7.700,4.96200
7.800,4.97667
7.900,4.99241
8.000,5.00907
8.100,5.02639
8.200,5.04405
8.300,5.06171
8.400,5.07901
8.500,5.09565
8.600,5.11137
8.700,5.12600
8.800,5.13949
8.900,5.15188
9.000,5.16333
9.100,5.17409
9.200,5.18445
9.300,5.19477
9.400,5.20540
9.500,5.21666
9.600,5.22880
9.700,5.24202
9.800,5.25638
9.900,5.27184
10.000,5.28828
10.100,5.30545
10.200,5.32305
10.300,5.34075
10.400,5.35818
10.500,5.37502
10.600,5.39101
10.700,5.40594
10.800,5.41974
10.900,5.43241
11.000,5.44410
11.100,5.45501
11.200,5.46544
11.300,5.47574
11.400,5.48625
11.500,5.49731
11.600,5.50920
11.700,5.52212
11.800,5.53617
11.900,5.55135
12.000,5.56754
12.100,5.58454
12.200,5.60206
12.300,5.61977
12.400,5.63730
12.500,5.65433
12.600,5.67057
12.700,5.68580
12.800,5.69990
12.900,5.71287
13.000,5.72481
13.100,5.73590
13.200,5.74643
13.300,5.75673
13.400,5.76715
13.500,5.77803
13.600,5.78967
13.700,5.80230
13.800,5.81604
13.900,5.83093
14.000,5.84686
14.100,5.86367
14.200,5.88108
14.300,5.89877
14.400,5.91639
14.500,5.93359
14.600,5.95006
14.700,5.96558
14.800,5.97999
14.900,5.99326
15.000,6.00545
15.100,6.01675
15.200,6.02740
15.300,6.03772
15.400,6.04808
15.500,6.05881
15.600,6.07022
15.700,6.08256
15.800,6.09600
15.900,6.11058
16.000,6.12625
16.100,6.14285
16.200,6.16013
16.300,6.17778
16.400,6.19545
16.500,6.21279
16.600,6.22948
16.700,6.24527
16.800,6.25999
16.900,6.27356
17.000,6.28603
17.100,6.29755
17.200,6.30834
17.300,6.31872
17.400,6.32903
17.500,6.33963
17.600,6.35083
17.700,6.36291
17.800,6.24577
17.900,6.08579
18.000,5.90466
18.100,5.70837
18.200,5.49991
18.300,5.28099
18.400,5.05267
18.500,4.81566
18.600,4.57044
18.700,4.31736
18.800,4.05679
18.900,3.78905
19.000,3.51455
19.100,3.23374
19.200,2.94711
19.300,2.65521
19.400,2.35861
19.500,2.05785
19.600,1.75346
19.700,1.44588
19.800,1.14732
19.900,0.00400
20.000,0.00000
