Extension_mm,Force_N
0.000,0.00000
0.100,0.07300
0.200,0.14600
0.300,0.20720
0.400,0.28010
0.500,0.35413
0.600,0.42920
0.700,0.50511
0.800,0.58158
0.900,0.65828
1.000,0.73486
1.100,0.81097
1.200,0.88633
1.300,0.96070
1.400,1.03396
1.500,1.10607
1.600,1.17713
1.700,1.24732
1.800,1.31691
1.900,1.38622
2.000,1.45560
2.100,1.52541
2.200,1.59593
2.300,1.66742
2.400,1.74001
2.500,1.81375
2.600,1.88855
2.700,1.96426
2.800,2.04061
2.900,2.11728
3.000,2.19393
3.100,2.27020
3.200,2.34579
3.300,2.42044
3.400,2.49400
3.500,2.56642
3.600,2.63775
3.700,2.70815
3.800,2.77787
3.900,2.84722
4.000,2.91655
4.100,2.98620
4.200,3.05651
4.300,3.12772
4.400,3.20001
4.500,3.27344
4.600,3.34797
4.700,3.40640
4.800,3.39732
4.900,3.38866
5.000,3.38006
5.100,3.37118
5.200,3.36169
5.300,3.35133
5.400,3.33990
5.500,3.32734
5.600,3.31367
5.700,3.29901
5.800,3.28360
5.900,3.26773
6.000,3.25174
6.100,3.24077
6.200,3.24947
6.300,3.25902
6.400,3.26961
6.500,3.28133
6.600,3.29418
6.700,3.30803
6.800,3.32267
6.900,3.33781
7.000,3.35312
7.100,3.36823
7.200,3.38282
7.300,3.39660
7.400,3.40936
7.500,3.42099
7.600,3.43149
7.700,3.44096
7.800,3.44961
7.900,3.45772
8.000,3.46562
8.100,3.47366
8.200,3.48218
8.300,3.49148
8.400,3.50177
8.500,3.51319
8.600,3.52574
8.700,3.53934
8.800,3.55379
8.900,3.56883
9.000,3.58413
9.100,3.59933
9.200,3.61409
9.300,3.62811
9.400,3.64116
9.500,3.65310
9.600,3.66389
9.700,3.67363
9.800,3.68247
9.900,3.69069
10.000,3.69861
10.100,3.70658
10.200,3.71494
10.300,3.72400
10.400,3.73402
10.500,3.74512
10.600,3.75737
10.700,3.77071
10.800,3.78496
10.900,3.79987
11.000,3.81513
11.100,3.83039
11.200,3.84530
11.300,3.85955
11.400,3.87287
11.500,3.88512
11.600,3.89622
11.700,3.90622
11.800,3.91528
11.900,3.92364
12.000,3.93161
12.100,3.93953
12.200,3.94775
12.300,3.95660
12.400,3.96634
12.500,3.97714
12.600,3.98909
12.700,4.00214
12.800,4.01617
12.900,4.03093
13.000,4.04613
13.100,4.06143
13.200,4.07647
13.300,4.09092
13.400,4.10451
13.500,4.11706
13.600,4.12846
13.700,4.13875
13.800,4.14805
13.900,4.15656
14.000,4.16460
14.100,4.17250
14.200,4.18061
14.300,4.18926
14.400,4.19874
14.500,4.20925
14.600,4.22088
14.700,4.23365
14.800,4.24743
14.900,4.26203
15.000,4.27714
15.100,4.29245
15.200,4.30759
15.300,4.32223
15.400,4.33607
15.500,4.34891
15.600,4.36063
15.700,4.37121
15.800,4.38075
15.900,4.38945
16.000,4.39759
16.100,4.40549
16.200,4.41350
16.300,4.42198
16.400,4.43121
16.500,4.38817
16.600,4.31069
16.700,4.22221
16.800,4.12628
16.900,4.02449
17.000,3.91769
17.100,3.80628
17.200,3.69049
17.300,3.57037
17.400,3.44598
17.500,3.31735
17.600,3.18456
17.700,3.04778
17.800,2.90723
17.900,2.76324
18.000,2.61620
18.100,2.46654
18.200,2.31471
18.300,2.16115
18.400,2.00627
18.500,1.85037
18.600,1.69371
18.700,1.53638
18.800,1.37840
18.900,1.21967
19.000,1.05999
19.100,0.89910
19.200,0.03200
19.300,0.02800
19.400,0.02400
19.500,0.02000
19.600,0.01600
19.700,0.01200
19.800,0.00800
19.900,0.00400
20.000,0.00000
