Extension_mm,Force_N
0.000,0.00000
0.100,0.05950
0.200,0.11900
0.300,0.18330
0.400,0.23922
0.500,0.29502
0.600,0.35105
0.700,0.40766
0.800,0.46510
0.900,0.52359
1.000,0.58321
1.100,0.64396
1.200,0.70571
1.300,0.76825
1.400,0.83129
1.500,0.89449
1.600,0.95751
1.700,1.02000
1.800,1.08168
1.900,1.14234
2.000,1.20187
2.100,1.26027
2.200,1.31765
2.300,1.37420
2.400,1.43020
2.500,1.48600
2.600,1.54194
2.700,1.59836
2.800,1.65556
2.900,1.71375
3.000,1.77307
3.100,1.83352
3.200,1.89501
3.300,1.95737
3.400,2.02031
3.500,2.08350
3.600,2.14660
3.700,2.20926
3.800,2.27119
3.900,2.33214
4.000,2.38505
4.100,2.37454
4.200,2.36296
4.300,2.35049
4.400,2.33740
4.500,2.32400
4.600,2.31066
4.700,2.29770
4.800,2.28545
4.900,2.27415
5.000,2.26394
5.100,2.25487
5.200,2.24689
5.300,2.23982
5.400,2.23537
5.500,2.24884
5.600,2.26230
5.700,2.27541
5.800,2.28785
5.900,2.29938
6.000,2.30983
6.100,2.31913
6.200,2.32734
6.300,2.33460
6.400,2.34116
6.500,2.34732
6.600,2.35344
6.700,2.35987
6.800,2.36691
6.900,2.37485
7.000,2.38385
7.100,2.39400
7.200,2.40525
7.300,2.41747
7.400,2.43044
7.500,2.44384
7.600,2.45733
7.700,2.47057
7.800,2.48322
7.900,2.49502
8.000,2.50577
8.100,2.51538
8.200,2.52386
8.300,2.53136
8.400,2.53808
8.500,2.54432
8.600,2.55041
8.700,2.55672
8.800,2.56357
8.900,2.57125
9.000,2.57996
9.100,2.58979
9.200,2.60076
9.300,2.61274
9.400,2.62553
9.500,2.63885
9.600,2.65235
9.700,2.66569
9.800,2.67853
9.900,2.69058
10.000,2.70162
10.100,2.71154
10.200,2.72032
10.300,2.72807
10.400,2.73497
10.500,2.74130
10.600,2.74740
10.700,2.75362
10.800,2.76030
10.900,2.76773
11.000,2.77614
11.100,2.78567
11.200,2.79634
11.300,2.80806
11.400,2.82066
11.500,2.83387
11.600,2.84736
11.700,2.86078
11.800,2.87378
11.900,2.88607
12.000,2.89740
12.100,2.90762
12.200,2.91670
12.300,2.92471
12.400,2.93181
12.500,2.93827
12.600,2.94440
12.700,2.95055
12.800,2.95707
12.900,2.96427
13.000,2.97241
13.100,2.98163
13.200,2.99200
13.300,3.00345
13.400,3.01584
13.500,3.02892
13.600,3.04236
13.700,3.05584
13.800,3.06898
13.900,3.08149
14.000,3.09309
14.100,3.10362
14.200,3.11301
14.300,3.12129
14.400,3.12861
14.500,3.13521
14.600,3.14140
14.700,3.14751
14.800,3.15390
14.900,3.16089
15.000,3.16875
15.100,3.17767
15.200,3.18773
15.300,3.19891
15.400,3.21107
15.500,3.20910
15.600,3.17115
15.700,3.12436
15.800,3.07165
15.900,3.01402
16.000,2.95199
16.100,2.88587
16.200,2.81593
16.300,2.74246
16.400,2.66580
16.500,2.58633
16.600,2.50449
16.700,2.42075
16.800,2.33557
16.900,2.24936
17.000,2.16250
17.100,2.07528
17.200,1.98786
17.300,1.90030
17.400,1.81256
17.500,1.72449
17.600,1.63584
17.700,1.54631
17.800,1.45561
17.900,1.36341
18.000,1.26946
18.100,1.17357
18.200,1.07563
18.300,0.97565
18.400,0.87374
18.500,0.77013
18.600,0.66509
18.700,0.05200
18.800,0.04800
18.900,0.04400
19.000,0.04000
19.100,0.03600
19.200,0.03200
19.300,0.02800
19.400,0.02400
19.500,0.02000
19.600,0.01600
19.700,0.01200
19.800,0.00800
19.900,0.00400
20.000,0.00000
