Extension_mm,Force_N
0.000,0.00000
0.100,0.05500
0.200,0.11000
0.300,0.17517
0.400,0.22775
0.500,0.27958
0.600,0.33098
0.700,0.38228
0.800,0.43385
0.900,0.48600
1.000,0.53901
1.100,0.59306
1.200,0.64826
1.300,0.70457
1.400,0.76188
1.500,0.81996
1.600,0.87853
1.700,0.93723
1.800,0.99572
1.900,1.05367
2.000,1.11078
2.100,1.16688
2.200,1.22184
2.300,1.27567
2.400,1.32848
2.500,1.38049
2.600,1.43197
2.700,1.48326
2.800,1.53472
2.900,1.58669
3.000,1.63944
3.100,1.69321
3.200,1.74809
3.300,1.80411
3.400,1.86117
3.500,1.91908
3.600,1.97754
3.700,2.03624
3.800,2.06928
3.900,2.06355
4.000,2.05705
4.100,2.04958
4.200,2.04099
4.300,2.03126
4.400,2.02047
4.500,2.00881
4.600,1.99655
4.700,1.98400
4.800,1.97152
4.900,1.95946
5.000,1.94813
5.100,1.93775
5.200,1.93569
5.300,1.94561
5.400,1.95661
5.500,1.96851
5.600,1.98105
5.700,1.99393
5.800,2.00677
5.900,2.01925
6.000,2.03104
6.100,2.04191
6.200,2.05168
6.300,2.06031
6.400,2.06785
6.500,2.07446
6.600,2.08038
6.700,2.08593
6.800,2.09146
6.900,2.09732
7.000,2.10381
7.100,2.11122
7.200,2.11969
7.300,2.12931
7.400,2.14003
7.500,2.15171
7.600,2.16411
7.700,2.17693
7.800,2.18982
7.900,2.20243
8.000,2.21443
8.100,2.22556
8.200,2.23564
8.300,2.24457
8.400,2.25239
8.500,2.25923
8.600,2.26531
8.700,2.27093
8.800,2.27643
8.900,2.28216
9.000,2.28846
9.100,2.29560
9.200,2.30377
9.300,2.31308
9.400,2.32352
9.500,2.33496
9.600,2.34720
9.700,2.35994
9.800,2.37284
9.900,2.38556
10.000,2.39775
10.100,2.40914
10.200,2.41951
10.300,2.42876
10.400,2.43687
10.500,2.44395
10.600,2.45021
10.700,2.45592
10.800,2.46141
10.900,2.46705
11.000,2.47317
11.100,2.48006
11.200,2.48794
11.300,2.49694
11.400,2.50708
11.500,2.51827
11.600,2.53032
11.700,2.54295
11.800,2.55585
11.900,2.56865
12.000,2.58102
12.100,2.59265
12.200,2.60331
12.300,2.61286
12.400,2.62127
12.500,2.62861
12.600,2.63506
12.700,2.64089
12.800,2.64641
12.900,2.65197
13.000,2.65793
13.100,2.66459
13.200,2.67219
13.300,2.68088
13.400,2.69072
13.500,2.70164
13.600,2.71349
13.700,2.72599
13.800,2.73885
13.900,2.75171
14.000,2.76423
14.100,2.77608
14.200,2.78702
14.300,2.79688
14.400,2.80559
14.500,2.81320
14.600,2.81987
14.700,2.82584
14.800,2.83141
14.900,2.83692
15.000,2.84274
15.100,2.84918
15.200,2.83579
15.300,2.79836
15.400,2.75544
15.500,2.70916
15.600,2.66038
15.700,2.60945
15.800,2.55649
15.900,2.50144
16.000,2.44416
16.100,2.38450
16.200,2.32233
16.300,2.25759
16.400,2.19028
16.500,2.12049
16.600,2.04844
16.700,1.97441
16.800,1.89875
16.900,1.82184
17.000,1.74410
17.100,1.66590
17.200,1.58754
17.300,1.50929
17.400,1.43127
17.500,1.35351
17.600,1.27592
17.700,1.19834
17.800,1.12049
17.900,1.04206
18.000,0.96273
18.100,0.88216
18.200,0.80010
18.300,0.71635
18.400,0.63079
18.500,0.54344
18.600,0.05600
18.700,0.05200
18.800,0.04800
18.900,0.04400
19.000,0.04000
19.100,0.03600
19.200,0.03200
19.300,0.02800
19.400,0.02400
19.500,0.02000
19.600,0.01600
19.700,0.01200
19.800,0.00800
19.900,0.00400
20.000,0.00000
