Record_ID,RetentionTime_min,RI_mV
1,0.000,0.713000
2,0.020,0.717174
3,0.040,0.720174
4,0.060,0.722057
5,0.080,0.722947
6,0.100,0.723024
7,0.120,0.722511
8,0.140,0.721654
9,0.160,0.720704
10,0.180,0.719904
11,0.200,0.719465
12,0.220,0.719553
13,0.240,0.720278
14,0.260,0.721683
15,0.280,0.723744
16,0.300,0.726367
17,0.320,0.729395
18,0.340,0.732620
19,0.360,0.735794
20,0.380,0.738645
21,0.400,0.740899
22,0.420,0.742295
23,0.440,0.742604
24,0.460,0.741646
25,0.480,0.739305
26,0.500,0.735535
27,0.520,0.730366
28,0.540,0.723908
29,0.560,0.716341
30,0.580,0.707911
31,0.600,0.698913
32,0.620,0.689678
33,0.640,0.680550
34,0.660,0.671874
35,0.680,0.663967
36,0.700,0.657109
37,0.720,0.651523
38,0.740,0.647363
39,0.760,0.644707
40,0.780,0.643556
41,0.800,0.643833
42,0.820,0.645393
43,0.840,0.648028
44,0.860,0.651489
45,0.880,0.655497
46,0.900,0.659766
47,0.920,0.664018
48,0.940,0.668004
49,0.960,0.671518
50,0.980,0.674410
51,1.000,0.676597
52,1.020,0.678063
53,1.040,0.678864
54,1.060,0.679116
55,1.080,0.678994
56,1.100,0.678711
57,1.120,0.678507
58,1.140,0.678629
59,1.160,0.679312
60,1.180,0.680764
61,1.200,0.683147
62,1.220,0.686564
63,1.240,0.691051
64,1.260,0.696571
65,1.280,0.703015
66,1.300,0.710203
67,1.320,0.717897
68,1.340,0.725811
69,1.360,0.733630
70,1.380,0.741023
71,1.400,0.747669
72,1.420,0.753272
73,1.440,0.757579
74,1.460,0.760397
75,1.480,0.761603
76,1.500,0.761150
77,1.520,0.759073
78,1.540,0.755485
79,1.560,0.750570
80,1.580,0.744571
81,1.600,0.737778
82,1.620,0.730506
83,1.640,0.723081
84,1.660,0.715817
85,1.680,0.708998
86,1.700,0.702865
87,1.720,0.697598
88,1.740,0.693311
89,1.760,0.690044
90,1.780,0.687766
91,1.800,0.686378
92,1.820,0.685722
93,1.840,0.685593
94,1.860,0.685760
95,1.880,0.685978
96,1.900,0.686008
97,1.920,0.685637
98,1.940,0.684691
99,1.960,0.683053
100,1.980,0.680666
101,2.000,0.677546
102,2.020,0.673776
103,2.040,0.669506
104,2.060,0.664943
105,2.080,0.660341
106,2.100,0.655979
107,2.120,0.652150
108,2.140,0.649138
109,2.160,0.647202
110,2.180,0.646557
111,2.200,0.647357
112,2.220,0.649689
113,2.240,0.653564
114,2.260,0.658910
115,2.280,0.665583
116,2.300,0.673367
117,2.320,0.681989
118,2.340,0.691135
119,2.360,0.700462
120,2.380,0.709627
