Record_ID,RetentionTime_min,RI_mV
1,0.000,0.688000
2,0.020,0.692114
3,0.040,0.695061
4,0.060,0.696899
5,0.080,0.697753
6,0.100,0.697803
7,0.120,0.697270
8,0.140,0.696400
9,0.160,0.695444
10,0.180,0.694644
11,0.200,0.694211
12,0.220,0.694311
13,0.240,0.695055
14,0.260,0.696490
15,0.280,0.698590
16,0.300,0.701266
17,0.320,0.704362
18,0.340,0.707673
19,0.360,0.710951
20,0.380,0.713928
21,0.400,0.716328
22,0.420,0.717888
23,0.440,0.718379
24,0.460,0.717618
25,0.480,0.715481
26,0.500,0.711918
27,0.520,0.706953
28,0.540,0.700686
29,0.560,0.693291
30,0.580,0.685006
31,0.600,0.676119
32,0.620,0.666955
33,0.640,0.657854
34,0.660,0.649157
35,0.680,0.641182
36,0.700,0.634209
37,0.720,0.628462
38,0.740,0.624102
39,0.760,0.621213
40,0.780,0.619802
41,0.800,0.619801
42,0.820,0.621072
43,0.840,0.623416
44,0.860,0.626590
45,0.880,0.630323
46,0.900,0.634330
47,0.920,0.638338
48,0.940,0.642098
49,0.960,0.645403
50,0.980,0.648102
51,1.000,0.650105
52,1.020,0.651394
53,1.040,0.652018
54,1.060,0.652090
55,1.080,0.651780
56,1.100,0.651300
57,1.120,0.650888
58,1.140,0.650792
59,1.160,0.651253
60,1.180,0.652482
61,1.200,0.654650
62,1.220,0.657870
63,1.240,0.662191
64,1.260,0.667586
65,1.280,0.673959
66,1.300,0.681141
67,1.320,0.688904
68,1.340,0.696969
69,1.360,0.705026
70,1.380,0.712745
71,1.400,0.719804
72,1.420,0.725901
73,1.440,0.730772
74,1.460,0.734213
75,1.480,0.736084
76,1.500,0.736322
77,1.520,0.734943
78,1.540,0.732041
79,1.560,0.727783
80,1.580,0.722394
81,1.600,0.716151
82,1.620,0.709359
83,1.640,0.702334
84,1.660,0.695388
85,1.680,0.688806
86,1.700,0.682832
87,1.720,0.677653
88,1.740,0.673393
89,1.760,0.670103
90,1.780,0.667763
91,1.800,0.666286
92,1.820,0.665523
93,1.840,0.665281
94,1.860,0.665332
95,1.880,0.665432
96,1.900,0.665344
97,1.920,0.664849
98,1.940,0.663767
99,1.960,0.661968
100,1.980,0.659385
101,2.000,0.656020
102,2.020,0.651945
103,2.040,0.647297
104,2.060,0.642274
105,2.080,0.637124
106,2.100,0.632126
107,2.120,0.627574
108,2.140,0.623762
109,2.160,0.620960
110,2.180,0.619401
111,2.200,0.619261
112,2.220,0.620652
113,2.240,0.623610
114,2.260,0.628093
115,2.280,0.633981
116,2.300,0.641083
117,2.320,0.649149
118,2.340,0.657879
119,2.360,0.666945
120,2.380,0.676007
121,2.400,0.684732
122,2.420,0.692815
123,2.440,0.699994
124,2.460,0.706065
125,2.480,0.710893
126,2.500,0.714416
127,2.520,0.716652
128,2.540,0.717689
129,2.560,0.717686
130,2.580,0.716856
131,2.600,0.715457
132,2.620,0.713778
133,2.640,0.712122
134,2.660,0.710795
135,2.680,0.710095
136,2.700,0.710310
137,2.720,0.711710
138,2.740,0.714561
139,2.760,0.719126
140,2.780,0.725685
141,2.800,0.734550
142,2.820,0.746085
143,2.840,0.760716
144,2.860,0.778947
145,2.880,0.801348
146,2.900,0.828547
147,2.920,0.861196
148,2.940,0.899918
149,2.960,0.945245
150,2.980,0.997535
151,3.000,1.056887
152,3.020,1.123057
153,3.040,1.195380
154,3.060,1.272724
155,3.080,1.353466
156,3.100,1.435519
157,3.120,1.516397
158,3.140,1.593325
159,3.160,1.663398
160,3.180,1.723753
161,3.200,1.771769
162,3.220,1.805252
163,3.240,1.822598
164,3.260,1.822919
165,3.280,1.806111
166,3.300,1.772862
167,3.320,1.724594
168,3.340,1.663361
169,3.360,1.591688
170,3.380,1.512397
171,3.400,1.428412
172,3.420,1.342587
173,3.440,1.257541
174,3.460,1.175548
175,3.480,1.098450
176,3.500,1.027627
177,3.520,0.964001
178,3.540,0.908067
179,3.560,0.859956
180,3.580,0.819503
181,3.600,0.786322
182,3.620,0.759877
183,3.640,0.739539
184,3.660,0.724639
185,3.680,0.714497
186,3.700,0.708447
187,3.720,0.705848
188,3.740,0.706087
189,3.760,0.708579
190,3.780,0.712768
191,3.800,0.718120
192,3.820,0.724131
193,3.840,0.730326
194,3.860,0.736265
195,3.880,0.741556
196,3.900,0.745860
197,3.920,0.748903
198,3.940,0.750486
199,3.960,0.750490
200,3.980,0.748879
201,4.000,0.745703
202,4.020,0.741088
203,4.040,0.735233
204,4.060,0.728394
205,4.080,0.720869
206,4.100,0.712982
207,4.120,0.705061
208,4.140,0.697420
209,4.160,0.690344
210,4.180,0.684066
211,4.200,0.678761
212,4.220,0.674537
213,4.240,0.671425
214,4.260,0.669386
215,4.280,0.668312
216,4.300,0.668039
217,4.320,0.668358
218,4.340,0.669029
219,4.360,0.669805
220,4.380,0.670444
221,4.400,0.670729
222,4.420,0.670487
223,4.440,0.669595
224,4.460,0.667996
225,4.480,0.665700
226,4.500,0.662789
227,4.520,0.659405
228,4.540,0.655749
229,4.560,0.652066
230,4.580,0.648626
231,4.600,0.645710
232,4.620,0.643593
233,4.640,0.642519
234,4.660,0.642692
235,4.680,0.644256
236,4.700,0.647285
237,4.720,0.651781
238,4.740,0.657665
239,4.760,0.664786
240,4.780,0.672923
241,4.800,0.681803
242,4.820,0.691109
243,4.840,0.700503
244,4.860,0.709644
245,4.880,0.718203
246,4.900,0.725889
247,4.920,0.732457
248,4.940,0.737728
249,4.960,0.741593
250,4.980,0.744020
251,5.000,0.745055
252,5.020,0.744812
253,5.040,0.743470
254,5.060,0.741257
255,5.080,0.738433
256,5.100,0.735274
257,5.120,0.732051
258,5.140,0.729017
259,5.160,0.726384
260,5.180,0.724314
261,5.200,0.722905
262,5.220,0.722191
263,5.240,0.722133
264,5.260,0.722629
265,5.280,0.723519
266,5.300,0.724597
267,5.320,0.725624
268,5.340,0.726350
269,5.360,0.726528
270,5.380,0.725935
271,5.400,0.724385
272,5.420,0.721748
273,5.440,0.717958
274,5.460,0.713020
275,5.480,0.707015
276,5.500,0.700093
277,5.520,0.692470
278,5.540,0.684415
279,5.560,0.676236
280,5.580,0.668261
281,5.600,0.660823
282,5.620,0.654235
283,5.640,0.648776
284,5.660,0.644674
285,5.680,0.642094
286,5.700,0.641123
287,5.720,0.641774
288,5.740,0.643979
289,5.760,0.647595
290,5.780,0.652418
291,5.800,0.658189
292,5.820,0.664616
293,5.840,0.671387
294,5.860,0.678194
295,5.880,0.684748
296,5.900,0.690799
297,5.920,0.696145
298,5.940,0.700650
299,5.960,0.704246
300,5.980,0.706937
301,6.000,0.708796
302,6.020,0.709956
303,6.040,0.710601
304,6.060,0.710953
305,6.080,0.711250
306,6.100,0.711734
307,6.120,0.712627
308,6.140,0.714118
309,6.160,0.716350
310,6.180,0.719402
311,6.200,0.723286
312,6.220,0.727947
313,6.240,0.733256
314,6.260,0.739026
315,6.280,0.745015
316,6.300,0.750946
317,6.320,0.756519
318,6.340,0.761434
319,6.360,0.765405
320,6.380,0.768182
321,6.400,0.769567
322,6.420,0.769423
323,6.440,0.767689
324,6.460,0.764380
325,6.480,0.759590
326,6.500,0.753489
327,6.520,0.746307
328,6.540,0.738330
329,6.560,0.729876
330,6.580,0.721282
331,6.600,0.712882
332,6.620,0.704989
333,6.640,0.697878
334,6.660,0.691769
335,6.680,0.686818
336,6.700,0.683109
337,6.720,0.680650
338,6.740,0.679377
339,6.760,0.679158
340,6.780,0.679807
341,6.800,0.681097
342,6.820,0.682777
343,6.840,0.684587
344,6.860,0.686282
345,6.880,0.687645
346,6.900,0.688504
347,6.920,0.688744
348,6.940,0.688315
349,6.960,0.687233
350,6.980,0.685586
351,7.000,0.683522
352,7.020,0.681241
353,7.040,0.678983
354,7.060,0.677010
355,7.080,0.675589
356,7.100,0.674973
357,7.120,0.675384
358,7.140,0.676996
359,7.160,0.679921
360,7.180,0.684204
361,7.200,0.689811
362,7.220,0.696634
363,7.240,0.704494
364,7.260,0.713148
365,7.280,0.722305
366,7.300,0.731640
367,7.320,0.740812
368,7.340,0.749483
369,7.360,0.757340
370,7.380,0.764109
371,7.400,0.769573
372,7.420,0.773580
373,7.440,0.776057
374,7.460,0.777006
375,7.480,0.776507
376,7.500,0.774708
377,7.520,0.771820
378,7.540,0.768094
379,7.560,0.763814
380,7.580,0.759270
381,7.600,0.754746
382,7.620,0.750495
383,7.640,0.746733
384,7.660,0.743614
385,7.680,0.741234
386,7.700,0.739613
387,7.720,0.738708
388,7.740,0.738407
389,7.760,0.738545
390,7.780,0.738914
391,7.800,0.739278
392,7.820,0.739393
393,7.840,0.739022
394,7.860,0.737957
395,7.880,0.736031
396,7.900,0.733134
397,7.920,0.729221
398,7.940,0.724319
399,7.960,0.718527
400,7.980,0.712013
401,8.000,0.705005
402,8.020,0.697777
403,8.040,0.690637
404,8.060,0.683906
405,8.080,0.677902
406,8.100,0.672918
407,8.120,0.669205
408,8.140,0.666959
409,8.160,0.666308
410,8.180,0.667302
411,8.200,0.669914
412,8.220,0.674038
413,8.240,0.679497
414,8.260,0.686056
415,8.280,0.693431
416,8.300,0.701310
417,8.320,0.709370
418,8.340,0.717300
419,8.360,0.724812
420,8.380,0.731665
421,8.400,0.737673
422,8.420,0.742721
423,8.440,0.746763
424,8.460,0.749829
425,8.480,0.752017
426,8.500,0.753488
427,8.520,0.754452
428,8.540,0.755151
429,8.560,0.755848
430,8.580,0.756802
431,8.600,0.758254
432,8.620,0.760411
433,8.640,0.763431
434,8.660,0.767415
435,8.680,0.772401
436,8.700,0.778359
437,8.720,0.785202
438,8.740,0.792785
439,8.760,0.800927
440,8.780,0.809420
441,8.800,0.818050
442,8.820,0.826612
443,8.840,0.834939
444,8.860,0.842909
445,8.880,0.850469
446,8.900,0.857645
447,8.920,0.864551
448,8.940,0.871396
449,8.960,0.878478
450,8.980,0.886187
451,9.000,0.894989
452,9.020,0.905416
453,9.040,0.918051
454,9.060,0.933512
455,9.080,0.952430
456,9.100,0.975435
457,9.120,1.003141
458,9.140,1.036131
459,9.160,1.074952
460,9.180,1.120109
461,9.200,1.172063
462,9.220,1.231240
463,9.240,1.298038
464,9.260,1.372842
465,9.280,1.456038
466,9.300,1.548031
467,9.320,1.649270
468,9.340,1.760256
469,9.360,1.881570
470,9.380,2.013879
471,9.400,2.157953
472,9.420,2.314664
473,9.440,2.484994
474,9.460,2.670026
475,9.480,2.870937
476,9.500,3.088985
477,9.520,3.325489
478,9.540,3.581810
479,9.560,3.859327
480,9.580,4.159417
481,9.600,4.483427
482,9.620,4.832657
483,9.640,5.208338
484,9.660,5.611617
485,9.680,6.043547
486,9.700,6.505079
487,9.720,6.997056
488,9.740,7.520217
489,9.760,8.075197
490,9.780,8.662539
491,9.800,9.282694
492,9.820,9.936036
493,9.840,10.622865
494,9.860,11.343414
495,9.880,12.097853
496,9.900,12.886285
497,9.920,13.708744
498,9.940,14.565183
499,9.960,15.455464
500,9.980,16.379335
501,10.000,17.336415
502,10.020,18.326167
503,10.040,19.347872
504,10.060,20.400608
505,10.080,21.483225
506,10.100,22.594323
507,10.120,23.732236
508,10.140,24.895019
509,10.160,26.080443
510,10.180,27.285992
511,10.200,28.508872
512,10.220,29.746023
513,10.240,30.994133
514,10.260,32.249672
515,10.280,33.508908
516,10.300,34.767950
517,10.320,36.022775
518,10.340,37.269263
519,10.360,38.503236
520,10.380,39.720486
521,10.400,40.916808
522,10.420,42.088025
523,10.440,43.230013
524,10.460,44.338723
525,10.480,45.410191
526,10.500,46.440555
527,10.520,47.426064
528,10.540,48.363087
529,10.560,49.248116
530,10.580,50.077780
531,10.600,50.848845
532,10.620,51.558229
533,10.640,52.203014
534,10.660,52.780458
535,10.680,53.288015
536,10.700,53.723356
537,10.720,54.084392
538,10.740,54.369304
539,10.760,54.576560
540,10.780,54.704953
541,10.800,54.753619
542,10.820,54.722063
543,10.840,54.610178
544,10.860,54.418257
545,10.880,54.147006
546,10.900,53.797544
547,10.920,53.371394
548,10.940,52.870479
549,10.960,52.297095
550,10.980,51.653889
551,11.000,50.943829
552,11.020,50.170165
553,11.040,49.336393
554,11.060,48.446213
555,11.080,47.503484
556,11.100,46.512191
557,11.120,45.476398
558,11.140,44.400221
559,11.160,43.287791
560,11.180,42.143228
561,11.200,40.970624
562,11.220,39.774020
563,11.240,38.557399
564,11.260,37.324675
565,11.280,36.079688
566,11.300,34.826200
567,11.320,33.567895
568,11.340,32.308375
569,11.360,31.051157
570,11.380,29.799668
571,11.400,28.557237
572,11.420,27.327084
573,11.440,26.112311
574,11.460,24.915879
575,11.480,23.740595
576,11.500,22.589089
577,11.520,21.463796
578,11.540,20.366932
579,11.560,19.300478
580,11.580,18.266165
581,11.600,17.265455
582,11.620,16.299543
583,11.640,15.369344
584,11.660,14.475501
585,11.680,13.618395
586,11.700,12.798154
587,11.720,12.014679
588,11.740,11.267658
589,11.760,10.556605
590,11.780,9.880878
591,11.800,9.239717
592,11.820,8.632267
593,11.840,8.057612
594,11.860,7.514795
595,11.880,7.002844
596,11.900,6.520784
597,11.920,6.067651
598,11.940,5.642500
599,11.960,5.244403
600,11.980,4.872450
601,12.000,4.525740
602,12.020,4.203374
603,12.040,3.904444
604,12.060,3.628020
605,12.080,3.373140
606,12.100,3.138805
607,12.120,2.923970
608,12.140,2.727541
609,12.160,2.548380
610,12.180,2.385309
611,12.200,2.237121
612,12.220,2.102592
613,12.240,1.980500
614,12.260,1.869642
615,12.280,1.768855
616,12.300,1.677037
617,12.320,1.593160
618,12.340,1.516293
619,12.360,1.445610
620,12.380,1.380399
621,12.400,1.320067
622,12.420,1.264138
623,12.440,1.212246
624,12.460,1.164125
625,12.480,1.119595
626,12.500,1.078543
627,12.520,1.040903
628,12.540,1.006637
629,12.560,0.975713
630,12.580,0.948087
631,12.600,0.923687
632,12.620,0.902402
633,12.640,0.884071
634,12.660,0.868484
635,12.680,0.855378
636,12.700,0.844446
637,12.720,0.835349
638,12.740,0.827725
639,12.760,0.821207
640,12.780,0.815440
641,12.800,0.810098
642,12.820,0.804900
643,12.840,0.799623
644,12.860,0.794111
645,12.880,0.788285
646,12.900,0.782142
647,12.920,0.775755
648,12.940,0.769264
649,12.960,0.762862
650,12.980,0.756787
651,13.000,0.751300
652,13.020,0.746665
653,13.040,0.743133
654,13.060,0.740924
655,13.080,0.740207
656,13.100,0.741089
657,13.120,0.743608
658,13.140,0.747724
659,13.160,0.753322
660,13.180,0.760215
661,13.200,0.768154
662,13.220,0.776840
663,13.240,0.785944
664,13.260,0.795121
665,13.280,0.804029
666,13.300,0.812352
667,13.320,0.819815
668,13.340,0.826196
669,13.360,0.831343
670,13.380,0.835175
671,13.400,0.837690
672,13.420,0.838957
673,13.440,0.839114
674,13.460,0.838355
675,13.480,0.836912
676,13.500,0.835045
677,13.520,0.833017
678,13.540,0.831082
679,13.560,0.829461
680,13.580,0.828332
681,13.600,0.827815
682,13.620,0.827966
683,13.640,0.828772
684,13.660,0.830151
685,13.680,0.831960
686,13.700,0.834007
687,13.720,0.836056
688,13.740,0.837853
689,13.760,0.839137
690,13.780,0.839664
691,13.800,0.839220
692,13.820,0.837639
693,13.840,0.834814
694,13.860,0.830712
695,13.880,0.825370
696,13.900,0.818903
697,13.920,0.811495
698,13.940,0.803390
699,13.960,0.794883
700,13.980,0.786297
701,14.000,0.777971
702,14.020,0.770238
703,14.040,0.763407
704,14.060,0.757742
705,14.080,0.753454
706,14.100,0.750681
707,14.120,0.749489
708,14.140,0.749862
709,14.160,0.751710
710,14.180,0.754871
711,14.200,0.759125
712,14.220,0.764210
713,14.240,0.769832
714,14.260,0.775692
715,14.280,0.781500
716,14.300,0.786993
717,14.320,0.791954
718,14.340,0.796220
719,14.360,0.799696
720,14.380,0.802354
721,14.400,0.804238
722,14.420,0.805456
723,14.440,0.806171
724,14.460,0.806591
725,14.480,0.806947
726,14.500,0.807484
727,14.520,0.808434
728,14.540,0.810005
729,14.560,0.812360
730,14.580,0.815610
731,14.600,0.819798
732,14.620,0.824896
733,14.640,0.830805
734,14.660,0.837361
735,14.680,0.844338
736,14.700,0.851465
737,14.720,0.858441
738,14.740,0.864952
739,14.760,0.870689
740,14.780,0.875371
741,14.800,0.878757
742,14.820,0.880663
743,14.840,0.880976
744,14.860,0.879657
745,14.880,0.876749
746,14.900,0.872370
747,14.920,0.866710
748,14.940,0.860017
749,14.960,0.852586
750,14.980,0.844739
751,15.000,0.836806
752,15.020,0.829109
753,15.040,0.821940
754,15.060,0.815546
755,15.080,0.810117
756,15.100,0.805775
757,15.120,0.802569
758,15.140,0.800473
759,15.160,0.799394
760,15.180,0.799178
761,15.200,0.799623
762,15.220,0.800494
763,15.240,0.801542
764,15.260,0.802521
765,15.280,0.803207
766,15.300,0.803413
767,15.320,0.803002
768,15.340,0.801902
769,15.360,0.800106
770,15.380,0.797676
771,15.400,0.794742
772,15.420,0.791491
773,15.440,0.788155
774,15.460,0.785000
775,15.480,0.782303
776,15.500,0.780338
777,15.520,0.779357
778,15.540,0.779570
779,15.560,0.781134
780,15.580,0.784136
781,15.600,0.788592
782,15.620,0.794439
783,15.640,0.801540
784,15.660,0.809686
785,15.680,0.818613
786,15.700,0.828013
787,15.720,0.837549
788,15.740,0.846880
789,15.760,0.855672
790,15.780,0.863626
791,15.800,0.870486
792,15.820,0.876060
793,15.840,0.880224
794,15.860,0.882931
795,15.880,0.884212
796,15.900,0.884169
797,15.920,0.882971
798,15.940,0.880838
799,15.960,0.878028
800,15.980,0.874816
801,16.000,0.871480
802,16.020,0.868279
803,16.040,0.865437
804,16.060,0.863132
805,16.080,0.861479
806,16.100,0.860526
807,16.120,0.860253
808,16.140,0.860573
809,16.160,0.861340
810,16.180,0.862358
811,16.200,0.863395
812,16.220,0.864205
813,16.240,0.864539
814,16.260,0.864168
815,16.280,0.862898
816,16.300,0.860588
817,16.320,0.857156
818,16.340,0.852593
819,16.360,0.846962
820,16.380,0.840400
821,16.400,0.833109
822,16.420,0.825346
823,16.440,0.817412
824,16.460,0.809630
825,16.480,0.802332
826,16.500,0.795835
827,16.520,0.790426
828,16.540,0.786342
829,16.560,0.783759
830,16.580,0.782781
831,16.600,0.783433
832,16.620,0.785662
833,16.640,0.789338
834,16.660,0.794266
835,16.680,0.800196
836,16.700,0.806837
837,16.720,0.813880
