Record_ID,RetentionTime_min,RI_mV
1,0.000,0.813000
2,0.020,0.817414
3,0.040,0.820624
4,0.060,0.822683
5,0.080,0.823714
6,0.100,0.823898
7,0.120,0.823457
8,0.140,0.822640
9,0.160,0.821704
10,0.180,0.820890
11,0.200,0.820410
12,0.220,0.820429
13,0.240,0.821054
14,0.260,0.822321
15,0.280,0.824199
16,0.300,0.826585
17,0.320,0.829314
18,0.340,0.832170
19,0.360,0.834899
20,0.380,0.837226
21,0.400,0.838878
22,0.420,0.839599
23,0.440,0.839171
24,0.460,0.837432
25,0.480,0.834285
26,0.500,0.829710
27,0.520,0.823766
28,0.540,0.816594
29,0.560,0.808405
30,0.580,0.799476
31,0.600,0.790128
32,0.620,0.780716
33,0.640,0.771601
34,0.660,0.763136
35,0.680,0.755640
36,0.700,0.749388
37,0.720,0.744585
38,0.740,0.741367
39,0.760,0.739782
40,0.780,0.739800
41,0.800,0.741309
42,0.820,0.744128
43,0.840,0.748019
44,0.860,0.752699
45,0.880,0.757868
46,0.900,0.763220
47,0.920,0.768467
48,0.940,0.773357
49,0.960,0.777688
50,0.980,0.781320
51,1.000,0.784186
52,1.020,0.786287
53,1.040,0.787699
54,1.060,0.788556
55,1.080,0.789047
56,1.100,0.789393
57,1.120,0.789835
58,1.140,0.790614
59,1.160,0.791948
60,1.180,0.794019
61,1.200,0.796957
62,1.220,0.800825
63,1.240,0.805616
64,1.260,0.811248
65,1.280,0.817567
66,1.300,0.824354
67,1.320,0.831340
68,1.340,0.838215
69,1.360,0.844656
70,1.380,0.850338
71,1.400,0.854958
72,1.420,0.858255
73,1.440,0.860025
74,1.460,0.860135
75,1.480,0.858530
76,1.500,0.855243
77,1.520,0.850386
78,1.540,0.844149
79,1.560,0.836789
80,1.580,0.828613
81,1.600,0.819961
82,1.620,0.811188
83,1.640,0.802639
84,1.660,0.794635
85,1.680,0.787448
86,1.700,0.781294
87,1.720,0.776316
88,1.740,0.772581
89,1.760,0.770078
90,1.780,0.768720
91,1.800,0.768358
92,1.820,0.768788
93,1.840,0.769771
94,1.860,0.771050
95,1.880,0.772370
96,1.900,0.773495
97,1.920,0.774230
98,1.940,0.774428
99,1.960,0.774008
100,1.980,0.772958
101,2.000,0.771337
102,2.020,0.769271
103,2.040,0.766943
104,2.060,0.764584
105,2.080,0.762455
106,2.100,0.760829
107,2.120,0.759969
108,2.140,0.760114
109,2.160,0.761456
110,2.180,0.764129
111,2.200,0.768194
112,2.220,0.773635
113,2.240,0.780356
114,2.260,0.788184
115,2.280,0.796877
116,2.300,0.806138
117,2.320,0.815628
118,2.340,0.824989
119,2.360,0.833862
120,2.380,0.841908
121,2.400,0.848827
122,2.420,0.854377
123,2.440,0.858383
124,2.460,0.860751
125,2.480,0.861470
126,2.500,0.860612
127,2.520,0.858323
128,2.540,0.854819
129,2.560,0.850364
130,2.580,0.845258
131,2.600,0.839819
132,2.620,0.834361
133,2.640,0.829176
134,2.660,0.824524
135,2.680,0.820619
136,2.700,0.817624
137,2.720,0.815654
138,2.740,0.814780
139,2.760,0.815046
140,2.780,0.816490
141,2.800,0.819166
142,2.820,0.823178
143,2.840,0.828704
144,2.860,0.836032
145,2.880,0.845575
146,2.900,0.857888
147,2.920,0.873668
148,2.940,0.893735
149,2.960,0.918998
150,2.980,0.950395
151,3.000,0.988818
152,3.020,1.035018
153,3.040,1.089505
154,3.060,1.152435
155,3.080,1.223522
156,3.100,1.301957
157,3.120,1.386362
158,3.140,1.474794
159,3.160,1.564787
160,3.180,1.653452
161,3.200,1.737623
162,3.220,1.814040
163,3.240,1.879557
164,3.260,1.931357
165,3.280,1.967150
166,3.300,1.985342
167,3.320,1.985147
168,3.340,1.966644
169,3.360,1.930762
170,3.380,1.879203
171,3.400,1.814310
172,3.420,1.738892
173,3.440,1.656027
174,3.460,1.568862
175,3.480,1.480428
176,3.500,1.393476
177,3.520,1.310362
178,3.540,1.232967
179,3.560,1.162667
180,3.580,1.100334
181,3.600,1.046376
182,3.620,1.000794
183,3.640,0.963256
184,3.660,0.933172
185,3.680,0.909773
186,3.700,0.892172
187,3.720,0.879431
188,3.740,0.870601
189,3.760,0.864763
190,3.780,0.861058
191,3.800,0.858701
192,3.820,0.857003
193,3.840,0.855379
194,3.860,0.853352
195,3.880,0.850563
196,3.900,0.846767
197,3.920,0.841833
198,3.940,0.835742
199,3.960,0.828572
200,3.980,0.820496
201,4.000,0.811757
202,4.020,0.802659
203,4.040,0.793539
204,4.060,0.784751
205,4.080,0.776643
206,4.100,0.769535
207,4.120,0.763699
208,4.140,0.759347
209,4.160,0.756614
210,4.180,0.755556
211,4.200,0.756143
212,4.220,0.758268
213,4.240,0.761748
214,4.260,0.766343
215,4.280,0.771767
216,4.300,0.777713
217,4.320,0.783863
218,4.340,0.789920
219,4.360,0.795615
220,4.380,0.800732
221,4.400,0.805115
222,4.420,0.808678
223,4.440,0.811409
224,4.460,0.813367
225,4.480,0.814676
226,4.500,0.815513
227,4.520,0.816094
