Record_ID,RetentionTime_min,RI_mV
1,0.000,0.838000
2,0.020,0.842474
3,0.040,0.845736
4,0.060,0.847839
5,0.080,0.848905
6,0.100,0.849113
7,0.120,0.848688
8,0.140,0.847879
9,0.160,0.846943
10,0.180,0.846122
11,0.200,0.845628
12,0.220,0.845626
13,0.240,0.846219
14,0.260,0.847446
15,0.280,0.849272
16,0.300,0.851593
17,0.320,0.854241
18,0.340,0.856998
19,0.360,0.859610
20,0.380,0.861801
21,0.400,0.863298
22,0.420,0.863848
23,0.440,0.863236
24,0.460,0.861303
25,0.480,0.857959
26,0.500,0.853190
27,0.520,0.847063
28,0.540,0.839726
29,0.560,0.831401
30,0.580,0.822368
31,0.600,0.812959
32,0.620,0.803531
33,0.640,0.794450
34,0.660,0.786071
35,0.680,0.778714
36,0.700,0.772648
37,0.720,0.768077
38,0.740,0.765128
39,0.760,0.763844
40,0.780,0.764185
41,0.800,0.766029
42,0.820,0.769186
43,0.840,0.773409
44,0.860,0.778408
45,0.880,0.783876
46,0.900,0.789502
47,0.920,0.794996
48,0.940,0.800104
49,0.960,0.804627
50,0.980,0.808427
51,1.000,0.811439
52,1.020,0.813672
53,1.040,0.815204
54,1.060,0.816175
55,1.080,0.816775
56,1.100,0.817229
57,1.120,0.817778
58,1.140,0.818660
59,1.160,0.820089
60,1.180,0.822240
61,1.200,0.825236
62,1.220,0.829130
63,1.240,0.833905
64,1.260,0.839468
65,1.280,0.845655
66,1.300,0.852240
67,1.320,0.858947
68,1.340,0.865464
69,1.360,0.871467
70,1.380,0.876635
71,1.400,0.880674
72,1.420,0.883333
73,1.440,0.884423
74,1.460,0.883828
75,1.480,0.881514
76,1.500,0.877531
77,1.520,0.872014
78,1.540,0.865172
79,1.560,0.857280
80,1.580,0.848659
81,1.600,0.839661
82,1.620,0.830648
83,1.640,0.821967
84,1.660,0.813938
85,1.680,0.806829
86,1.700,0.800845
87,1.720,0.796117
88,1.740,0.792698
89,1.760,0.790561
90,1.780,0.789606
91,1.800,0.789667
92,1.820,0.790529
93,1.840,0.791943
94,1.860,0.793645
95,1.880,0.795378
96,1.900,0.796907
97,1.920,0.798038
98,1.940,0.798633
99,1.960,0.798619
100,1.980,0.797993
101,2.000,0.796822
102,2.020,0.795242
103,2.040,0.793443
104,2.060,0.791657
105,2.080,0.790144
106,2.100,0.789172
107,2.120,0.788994
108,2.140,0.789835
109,2.160,0.791868
110,2.180,0.795204
