Record_ID,ParticleDiameter_um,VolumeFrequency_percent
1,0.100000,0.000000
2,0.105925,0.000000
3,0.112202,0.000000
4,0.118850,0.000000
5,0.125893,0.000000
6,0.133352,0.000000
7,0.141254,0.000000
8,0.149624,0.000000
9,0.158489,0.000000
10,0.167880,0.000000
11,0.177828,0.000000
12,0.188365,0.000000
13,0.199526,0.000000
14,0.211349,0.000000
15,0.223872,0.000000
16,0.237137,0.000000
17,0.251189,0.000000
18,0.266073,0.000000
19,0.281838,0.000000
20,0.298538,0.000000
21,0.316228,0.000000
22,0.334965,0.000000
23,0.354813,0.000000
24,0.375837,0.000000
25,0.398107,0.000000
26,0.421697,0.000000
27,0.446684,0.000000
28,0.473151,0.000000
29,0.501187,0.000000
30,0.530884,0.000000
31,0.562341,0.000000
32,0.595662,0.000000
33,0.630957,0.000000
34,0.668344,0.000000
35,0.707946,0.000000
36,0.749894,0.000000
37,0.794328,0.000000
38,0.841395,0.000000
39,0.891251,0.000000
40,0.944061,0.000000
41,1.000000,0.000000
42,1.059254,0.000000
43,1.122018,0.000000
44,1.188502,0.000000
45,1.258925,0.000000
46,1.333521,0.000000
47,1.412538,0.000000
48,1.496236,0.000000
49,1.584893,0.000000
50,1.678804,0.000000
51,1.778279,0.000000
52,1.883649,0.000000
53,1.995262,0.000000
54,2.113489,0.000000
55,2.238721,0.000000
56,2.371374,0.000000
57,2.511886,0.000000
58,2.660725,0.000000
59,2.818383,0.000000
60,2.985383,0.000000
61,3.162278,0.000000
62,3.349654,0.000000
63,3.548134,0.000000
64,3.758374,0.000000
65,3.981072,0.000000
66,4.216965,0.000000
67,4.466836,0.000000
68,4.731513,0.000000
69,5.011872,0.000000
70,5.308844,0.000000
71,5.623413,0.000000
72,5.956621,0.000000
73,6.309573,0.000000
74,6.683439,0.000000
75,7.079458,0.000000
76,7.498942,0.000000
77,7.943282,0.000000
78,8.413951,0.000001
79,8.912509,0.000002
80,9.440609,0.000006
81,10.000000,0.000015
82,10.592537,0.000036
83,11.220185,0.000082
84,11.885022,0.000184
85,12.589254,0.000400
86,13.335214,0.000844
87,14.125375,0.001729
88,14.962357,0.003438
89,15.848932,0.006634
90,16.788040,0.012427
91,17.782794,0.022597
92,18.836491,0.039885
93,19.952623,0.068340
94,21.134890,0.113664
95,22.387211,0.183511
96,23.713737,0.287602
97,25.118864,0.437533
98,26.607251,0.646130
99,28.183829,0.926231
100,29.853826,1.288867
101,31.622777,1.740953
102,33.496544,2.282737
103,35.481339,2.905459
104,37.583740,3.589744
105,39.810717,4.305287
106,42.169650,5.012227
107,44.668359,5.664339
108,47.315126,6.213807
109,50.118723,6.616924
110,53.088444,6.839818
111,56.234133,6.863139
112,59.566214,6.684841
113,63.095734,6.320468
114,66.834392,5.800926
115,70.794578,5.168154
116,74.989421,4.469546
117,79.432823,3.752160
118,84.139514,3.057660
119,89.125094,2.418728
120,94.406088,1.857269
121,100.000000,1.384371
122,105.925373,1.001659
123,112.201845,0.703522
124,118.850223,0.479651
125,125.892541,0.317441
126,133.352143,0.203934
127,141.253754,0.127177
128,149.623566,0.076986
129,158.489319,0.045239
130,167.880402,0.025805
131,177.827941,0.014288
132,188.364909,0.007680
133,199.526231,0.004007
134,211.348904,0.002029
135,223.872114,0.000998
136,237.137371,0.000476
137,251.188643,0.000221
138,266.072506,0.000099
139,281.838293,0.000043
140,298.538262,0.000018
141,316.227766,0.000008
142,334.965439,0.000003
143,354.813389,0.000001
144,375.837404,0.000000
145,398.107171,0.000000
146,421.696503,0.000000
147,446.683592,0.000000
148,473.151259,0.000000
149,501.187234,0.000000
150,530.884444,0.000000
151,562.341325,0.000000
152,595.662144,0.000000
153,630.957344,0.000000
154,668.343918,0.000000
155,707.945784,0.000000
156,749.894209,0.000000
157,794.328235,0.000000
158,841.395142,0.000000
159,891.250938,0.000000
160,944.060876,0.000000
161,1000.000000,0.000000
