Record_ID,ParticleDiameter_um,VolumeFrequency_percent
1,0.100000,0.000000
2,0.105925,0.000000
3,0.112202,0.000000
4,0.118850,0.000000
5,0.125893,0.000000
6,0.133352,0.000000
7,0.141254,0.000000
8,0.149624,0.000000
9,0.158489,0.000000
10,0.167880,0.000000
11,0.177828,0.000000
12,0.188365,0.000000
13,0.199526,0.000000
14,0.211349,0.000000
15,0.223872,0.000000
16,0.237137,0.000000
17,0.251189,0.000000
18,0.266073,0.000000
19,0.281838,0.000000
20,0.298538,0.000000
21,0.316228,0.000000
22,0.334965,0.000000
23,0.354813,0.000000
24,0.375837,0.000000
25,0.398107,0.000000
26,0.421697,0.000001
27,0.446684,0.000001
28,0.473151,0.000002
29,0.501187,0.000003
30,0.530884,0.000004
31,0.562341,0.000006
32,0.595662,0.000009
33,0.630957,0.000014
34,0.668344,0.000020
35,0.707946,0.000030
36,0.749894,0.000044
37,0.794328,0.000064
38,0.841395,0.000093
39,0.891251,0.000134
40,0.944061,0.000192
41,1.000000,0.000273
42,1.059254,0.000385
43,1.122018,0.000541
44,1.188502,0.000755
45,1.258925,0.001046
46,1.333521,0.001440
47,1.412538,0.001971
48,1.496236,0.002679
49,1.584893,0.003618
50,1.678804,0.004854
51,1.778279,0.006470
52,1.883649,0.008569
53,1.995262,0.011275
54,2.113489,0.014739
55,2.238721,0.019143
56,2.371374,0.024701
57,2.511886,0.031667
58,2.660725,0.040334
59,2.818383,0.051039
60,2.985383,0.064168
61,3.162278,0.080151
62,3.349654,0.099465
63,3.548134,0.122634
64,3.758374,0.150220
65,3.981072,0.182818
66,4.216965,0.221047
67,4.466836,0.265538
68,4.731513,0.316916
69,5.011872,0.375783
70,5.308844,0.442696
71,5.623413,0.518143
72,5.956621,0.602517
73,6.309573,0.696089
74,6.683439,0.798979
75,7.079458,0.911132
76,7.498942,1.032292
77,7.943282,1.161983
78,8.413951,1.299489
79,8.912509,1.443845
80,9.440609,1.593838
81,10.000000,1.748007
82,10.592537,1.904662
83,11.220185,2.061902
84,11.885022,2.217653
85,12.589254,2.369707
86,13.335214,2.515772
87,14.125375,2.653527
88,14.962357,2.780681
89,15.848932,2.895038
90,16.788040,2.994559
91,17.782794,3.077422
92,18.836491,3.142076
93,19.952623,3.187292
94,21.134890,3.212199
95,22.387211,3.216309
96,23.713737,3.199561
97,25.118864,3.162259
98,26.607251,3.105133
99,28.183829,3.029273
100,29.853826,2.936108
101,31.622777,2.827361
102,33.496544,2.704992
103,35.481339,2.571142
104,37.583740,2.428073
105,39.810717,2.278101
106,42.169650,2.123537
107,44.668359,1.966627
108,47.315126,1.809504
109,50.118723,1.654142
110,53.088444,1.502317
111,56.234133,1.355582
112,59.566214,1.215250
113,63.095734,1.082383
114,66.834392,0.957793
115,70.794578,0.842050
116,74.989421,0.735495
117,79.432823,0.638259
118,84.139514,0.550287
119,89.125094,0.471366
120,94.406088,0.401145
121,100.000000,0.339173
122,105.925373,0.284915
123,112.201845,0.237786
124,118.850223,0.197166
125,125.892541,0.162425
126,133.352143,0.132938
127,141.253754,0.108099
128,149.623566,0.087331
129,158.489319,0.070096
130,167.880402,0.055897
131,177.827941,0.044286
132,188.364909,0.034859
133,199.526231,0.027261
134,211.348904,0.021181
135,223.872114,0.016350
136,237.137371,0.012539
137,251.188643,0.009554
138,266.072506,0.007233
139,281.838293,0.005440
140,298.538262,0.004065
141,316.227766,0.003018
142,334.965439,0.002226
143,354.813389,0.001631
144,375.837404,0.001187
145,398.107171,0.000859
146,421.696503,0.000617
147,446.683592,0.000441
148,473.151259,0.000313
149,501.187234,0.000220
150,530.884444,0.000154
151,562.341325,0.000107
152,595.662144,0.000074
153,630.957344,0.000051
154,668.343918,0.000035
155,707.945784,0.000024
156,749.894209,0.000016
157,794.328235,0.000011
158,841.395142,0.000007
159,891.250938,0.000005
160,944.060876,0.000003
161,1000.000000,0.000002
