Record_ID,ParticleDiameter_um,VolumeFrequency_percent
1,0.100000,0.000000
2,0.105925,0.000000
3,0.112202,0.000000
4,0.118850,0.000000
5,0.125893,0.000000
6,0.133352,0.000000
7,0.141254,0.000000
8,0.149624,0.000000
9,0.158489,0.000000
10,0.167880,0.000000
11,0.177828,0.000000
12,0.188365,0.000000
13,0.199526,0.000000
14,0.211349,0.000000
15,0.223872,0.000000
16,0.237137,0.000000
17,0.251189,0.000000
18,0.266073,0.000000
19,0.281838,0.000000
20,0.298538,0.000000
21,0.316228,0.000000
22,0.334965,0.000000
23,0.354813,0.000000
24,0.375837,0.000000
25,0.398107,0.000000
26,0.421697,0.000000
27,0.446684,0.000000
28,0.473151,0.000000
29,0.501187,0.000000
30,0.530884,0.000000
31,0.562341,0.000000
32,0.595662,0.000000
33,0.630957,0.000000
34,0.668344,0.000000
35,0.707946,0.000000
36,0.749894,0.000000
37,0.794328,0.000000
38,0.841395,0.000000
39,0.891251,0.000000
40,0.944061,0.000000
41,1.000000,0.000000
42,1.059254,0.000000
43,1.122018,0.000000
44,1.188502,0.000000
45,1.258925,0.000000
46,1.333521,0.000000
47,1.412538,0.000000
48,1.496236,0.000000
49,1.584893,0.000000
50,1.678804,0.000000
51,1.778279,0.000000
52,1.883649,0.000000
53,1.995262,0.000001
54,2.113489,0.000001
55,2.238721,0.000002
56,2.371374,0.000004
57,2.511886,0.000008
58,2.660725,0.000014
59,2.818383,0.000026
60,2.985383,0.000046
61,3.162278,0.000081
62,3.349654,0.000141
63,3.548134,0.000243
64,3.758374,0.000411
65,3.981072,0.000686
66,4.216965,0.001127
67,4.466836,0.001824
68,4.731513,0.002908
69,5.011872,0.004570
70,5.308844,0.007075
71,5.623413,0.010791
72,5.956621,0.016216
73,6.309573,0.024009
74,6.683439,0.035022
75,7.079458,0.050333
76,7.498942,0.071269
77,7.943282,0.099424
78,8.413951,0.136655
79,8.912509,0.185054
80,9.440609,0.246894
81,10.000000,0.324538
82,10.592537,0.420303
83,11.220185,0.536289
84,11.885022,0.674183
85,12.589254,0.835020
86,13.335214,1.018961
87,14.125375,1.225065
88,14.962357,1.451115
89,15.848932,1.693502
90,16.788040,1.947201
91,17.782794,2.205856
92,18.836491,2.461980
93,19.952623,2.707280
94,21.134890,2.933076
95,22.387211,3.130799
96,23.713737,3.292527
97,25.118864,3.411513
98,26.607251,3.482655
99,28.183829,3.502870
100,29.853826,3.471325
101,31.622777,3.389532
102,33.496544,3.261255
103,35.481339,3.092290
104,37.583740,2.890117
105,39.810717,2.663472
106,42.169650,2.421882
107,44.668359,2.175199
108,47.315126,1.933175
109,50.118723,1.705085
110,53.088444,1.499411
111,56.234133,1.323562
112,59.566214,1.183621
113,63.095734,1.084082
114,66.834392,1.027585
115,70.794578,1.014635
116,74.989421,1.043356
117,79.432823,1.109320
118,84.139514,1.205544
119,89.125094,1.322707
120,94.406088,1.449641
121,100.000000,1.574105
122,105.925373,1.683788
123,112.201845,1.767434
124,118.850223,1.815948
125,125.892541,1.823305
126,133.352143,1.787132
127,141.253754,1.708847
128,149.623566,1.593352
129,158.489319,1.448307
130,167.880402,1.283130
131,177.827941,1.107873
132,188.364909,0.932147
133,199.526231,0.764242
134,211.348904,0.610540
135,223.872114,0.475251
136,237.137371,0.360456
137,251.188643,0.266376
138,266.072506,0.191800
139,281.838293,0.134558
140,298.538262,0.091977
141,316.227766,0.061256
142,334.965439,0.039749
143,354.813389,0.025131
144,375.837404,0.015481
145,398.107171,0.009292
146,421.696503,0.005433
147,446.683592,0.003096
148,473.151259,0.001719
149,501.187234,0.000930
150,530.884444,0.000490
151,562.341325,0.000252
152,595.662144,0.000126
153,630.957344,0.000061
154,668.343918,0.000029
155,707.945784,0.000013
156,749.894209,0.000006
157,794.328235,0.000003
158,841.395142,0.000001
159,891.250938,0.000000
160,944.060876,0.000000
161,1000.000000,0.000000
