Record_ID,ParticleDiameter_um,VolumeFrequency_percent
1,0.100000,0.000000
2,0.105925,0.000000
3,0.112202,0.000000
4,0.118850,0.000000
5,0.125893,0.000000
6,0.133352,0.000000
7,0.141254,0.000000
8,0.149624,0.000000
9,0.158489,0.000000
10,0.167880,0.000000
11,0.177828,0.000000
12,0.188365,0.000000
13,0.199526,0.000000
14,0.211349,0.000000
15,0.223872,0.000000
16,0.237137,0.000000
17,0.251189,0.000000
18,0.266073,0.000000
19,0.281838,0.000000
20,0.298538,0.000000
21,0.316228,0.000000
22,0.334965,0.000000
23,0.354813,0.000000
24,0.375837,0.000000
25,0.398107,0.000000
26,0.421697,0.000000
27,0.446684,0.000001
28,0.473151,0.000001
29,0.501187,0.000002
30,0.530884,0.000003
31,0.562341,0.000004
32,0.595662,0.000007
33,0.630957,0.000011
34,0.668344,0.000018
35,0.707946,0.000028
36,0.749894,0.000044
37,0.794328,0.000068
38,0.841395,0.000105
39,0.891251,0.000160
40,0.944061,0.000242
41,1.000000,0.000362
42,1.059254,0.000537
43,1.122018,0.000790
44,1.188502,0.001150
45,1.258925,0.001660
46,1.333521,0.002373
47,1.412538,0.003361
48,1.496236,0.004718
49,1.584893,0.006561
50,1.678804,0.009040
51,1.778279,0.012341
52,1.883649,0.016692
53,1.995262,0.022369
54,2.113489,0.029703
55,2.238721,0.039077
56,2.371374,0.050936
57,2.511886,0.065783
58,2.660725,0.084177
59,2.818383,0.106722
60,2.985383,0.134061
61,3.162278,0.166852
62,3.349654,0.205754
63,3.548134,0.251390
64,3.758374,0.304322
65,3.981072,0.365009
66,4.216965,0.433768
67,4.466836,0.510737
68,4.731513,0.595828
69,5.011872,0.688699
70,5.308844,0.788720
71,5.623413,0.894955
72,5.956621,1.006153
73,6.309573,1.120757
74,6.683439,1.236925
75,7.079458,1.352572
76,7.498942,1.465420
77,7.943282,1.573071
78,8.413951,1.673090
79,8.912509,1.763092
80,9.440609,1.840837
81,10.000000,1.904323
82,10.592537,1.951869
83,11.220185,1.982190
84,11.885022,1.994459
85,12.589254,1.988336
86,13.335214,1.963992
87,14.125375,1.922098
88,14.962357,1.863792
89,15.848932,1.790634
90,16.788040,1.704534
91,17.782794,1.607671
92,18.836491,1.502402
93,19.952623,1.391176
94,21.134890,1.276436
95,22.387211,1.160544
96,23.713737,1.045706
97,25.118864,0.933921
98,26.607251,0.826935
99,28.183829,0.726227
100,29.853826,0.633001
101,31.622777,0.548196
102,33.496544,0.472516
103,35.481339,0.406462
104,37.583740,0.350378
105,39.810717,0.304493
106,42.169650,0.268975
107,44.668359,0.243961
108,47.315126,0.229604
109,50.118723,0.226085
110,53.088444,0.233630
111,56.234133,0.252505
112,59.566214,0.282990
113,63.095734,0.325351
114,66.834392,0.379785
115,70.794578,0.446364
116,74.989421,0.524961
117,79.432823,0.615189
118,84.139514,0.716329
119,89.125094,0.827276
120,94.406088,0.946501
121,100.000000,1.072033
122,105.925373,1.201472
123,112.201845,1.332026
124,118.850223,1.460589
125,125.892541,1.583837
126,133.352143,1.698360
127,141.253754,1.800806
128,149.623566,1.888033
129,158.489319,1.957268
130,167.880402,2.006246
131,177.827941,2.033333
132,188.364909,2.037603
133,199.526231,2.018927
134,211.348904,1.977909
135,223.872114,1.915923
136,237.137371,1.834997
137,251.188643,1.737712
138,266.072506,1.627067
139,281.838293,1.506324
140,298.538262,1.378847
141,316.227766,1.247955
142,334.965439,1.116778
143,354.813389,0.988143
144,375.837404,0.864485
145,398.107171,0.747791
146,421.696503,0.639569
147,446.683592,0.540854
148,473.151259,0.452228
149,501.187234,0.373870
150,530.884444,0.305610
151,562.341325,0.247002
152,595.662144,0.197387
153,630.957344,0.155962
154,668.343918,0.121845
155,707.945784,0.094119
156,749.894209,0.071885
157,794.328235,0.054285
158,841.395142,0.040533
159,891.250938,0.029924
160,944.060876,0.021843
161,1000.000000,0.015765
