Record_ID,Wavenumber_cm-1,Absorbance
1,4000.000,0.015476
2,3998.000,0.015404
3,3996.000,0.015330
4,3994.000,0.015259
5,3992.000,0.015190
6,3990.000,0.015126
7,3988.000,0.015068
8,3986.000,0.015018
9,3984.000,0.014976
10,3982.000,0.014944
11,3980.000,0.014921
12,3978.000,0.014910
13,3976.000,0.014909
14,3974.000,0.014920
15,3972.000,0.014940
16,3970.000,0.014971
17,3968.000,0.015011
18,3966.000,0.015059
19,3964.000,0.015113
20,3962.000,0.015174
21,3960.000,0.015238
22,3958.000,0.015304
23,3956.000,0.015371
24,3954.000,0.015437
25,3952.000,0.015501
26,3950.000,0.015560
27,3948.000,0.015613
28,3946.000,0.015659
29,3944.000,0.015697
30,3942.000,0.015725
31,3940.000,0.015744
32,3938.000,0.015752
33,3936.000,0.015749
34,3934.000,0.015735
35,3932.000,0.015711
36,3930.000,0.015676
37,3928.000,0.015633
38,3926.000,0.015581
39,3924.000,0.015522
40,3922.000,0.015458
41,3920.000,0.015389
42,3918.000,0.015318
43,3916.000,0.015246
44,3914.000,0.015175
45,3912.000,0.015107
46,3910.000,0.015042
47,3908.000,0.014983
48,3906.000,0.014931
49,3904.000,0.014887
50,3902.000,0.014853
51,3900.000,0.014828
52,3898.000,0.014814
53,3896.000,0.014811
54,3894.000,0.014819
55,3892.000,0.014837
56,3890.000,0.014866
57,3888.000,0.014904
58,3886.000,0.014951
59,3884.000,0.015005
60,3882.000,0.015065
61,3880.000,0.015129
62,3878.000,0.015197
63,3876.000,0.015266
64,3874.000,0.015335
65,3872.000,0.015401
66,3870.000,0.015464
67,3868.000,0.015522
68,3866.000,0.015573
69,3864.000,0.015616
70,3862.000,0.015650
71,3860.000,0.015675
72,3858.000,0.015689
73,3856.000,0.015692
74,3854.000,0.015685
75,3852.000,0.015667
76,3850.000,0.015638
77,3848.000,0.015601
78,3846.000,0.015554
79,3844.000,0.015500
80,3842.000,0.015440
81,3840.000,0.015376
82,3838.000,0.015308
83,3836.000,0.015239
84,3834.000,0.015170
85,3832.000,0.015102
86,3830.000,0.015039
87,3828.000,0.014980
88,3826.000,0.014928
89,3824.000,0.014884
90,3822.000,0.014848
91,3820.000,0.014822
92,3818.000,0.014807
93,3816.000,0.014803
94,3814.000,0.014809
95,3812.000,0.014826
96,3810.000,0.014854
97,3808.000,0.014892
98,3806.000,0.014938
99,3804.000,0.014992
100,3802.000,0.015053
101,3800.000,0.015119
102,3798.000,0.015189
103,3796.000,0.015261
104,3794.000,0.015333
105,3792.000,0.015403
106,3790.000,0.015471
107,3788.000,0.015534
108,3786.000,0.015591
109,3784.000,0.015640
110,3782.000,0.015681
111,3780.000,0.015713
112,3778.000,0.015734
113,3776.000,0.015745
114,3774.000,0.015745
115,3772.000,0.015734
116,3770.000,0.015713
117,3768.000,0.015682
118,3766.000,0.015643
119,3764.000,0.015595
120,3762.000,0.015541
121,3760.000,0.015481
122,3758.000,0.015418
123,3756.000,0.015352
124,3754.000,0.015286
125,3752.000,0.015222
126,3750.000,0.015160
127,3748.000,0.015103
128,3746.000,0.015052
129,3744.000,0.015008
130,3742.000,0.014973
131,3740.000,0.014947
132,3738.000,0.014931
133,3736.000,0.014926
134,3734.000,0.014932
135,3732.000,0.014949
136,3730.000,0.014977
137,3728.000,0.015014
138,3726.000,0.015061
139,3724.000,0.015117
140,3722.000,0.015179
141,3720.000,0.015247
142,3718.000,0.015320
143,3716.000,0.015395
144,3714.000,0.015471
145,3712.000,0.015546
146,3710.000,0.015619
147,3708.000,0.015688
148,3706.000,0.015751
149,3704.000,0.015807
150,3702.000,0.015856
151,3700.000,0.015895
152,3698.000,0.015924
153,3696.000,0.015943
154,3694.000,0.015951
155,3692.000,0.015949
156,3690.000,0.015936
157,3688.000,0.015912
158,3686.000,0.015880
159,3684.000,0.015839
160,3682.000,0.015791
161,3680.000,0.015737
162,3678.000,0.015679
163,3676.000,0.015619
164,3674.000,0.015557
165,3672.000,0.015496
166,3670.000,0.015437
167,3668.000,0.015382
168,3666.000,0.015332
169,3664.000,0.015290
170,3662.000,0.015255
171,3660.000,0.015230
172,3658.000,0.015214
173,3656.000,0.015209
174,3654.000,0.015215
175,3652.000,0.015232
176,3650.000,0.015260
177,3648.000,0.015298
178,3646.000,0.015346
179,3644.000,0.015402
180,3642.000,0.015466
181,3640.000,0.015537
182,3638.000,0.015612
183,3636.000,0.015690
184,3634.000,0.015771
185,3632.000,0.015851
186,3630.000,0.015929
187,3628.000,0.016004
188,3626.000,0.016073
189,3624.000,0.016137
190,3622.000,0.016193
191,3620.000,0.016240
192,3618.000,0.016277
193,3616.000,0.016304
194,3614.000,0.016321
195,3612.000,0.016326
196,3610.000,0.016321
197,3608.000,0.016306
198,3606.000,0.016281
199,3604.000,0.016248
200,3602.000,0.016206
201,3600.000,0.016159
202,3598.000,0.016106
203,3596.000,0.016051
204,3594.000,0.015993
205,3592.000,0.015936
206,3590.000,0.015880
207,3588.000,0.015827
208,3586.000,0.015779
209,3584.000,0.015738
210,3582.000,0.015704
211,3580.000,0.015679
212,3578.000,0.015664
213,3576.000,0.015659
214,3574.000,0.015665
215,3572.000,0.015682
216,3570.000,0.015710
217,3568.000,0.015748
218,3566.000,0.015797
219,3564.000,0.015854
220,3562.000,0.015919
221,3560.000,0.015992
222,3558.000,0.016069
223,3556.000,0.016151
224,3554.000,0.016235
225,3552.000,0.016319
226,3550.000,0.016402
227,3548.000,0.016482
228,3546.000,0.016558
229,3544.000,0.016628
230,3542.000,0.016691
231,3540.000,0.016746
232,3538.000,0.016791
233,3536.000,0.016826
234,3534.000,0.016850
235,3532.000,0.016864
236,3530.000,0.016867
237,3528.000,0.016859
238,3526.000,0.016841
239,3524.000,0.016815
240,3522.000,0.016780
241,3520.000,0.016738
242,3518.000,0.016691
243,3516.000,0.016640
244,3514.000,0.016587
245,3512.000,0.016533
246,3510.000,0.016479
247,3508.000,0.016429
248,3506.000,0.016383
249,3504.000,0.016342
250,3502.000,0.016309
251,3500.000,0.016284
252,3498.000,0.016269
253,3496.000,0.016263
254,3494.000,0.016269
255,3492.000,0.016285
256,3490.000,0.016312
257,3488.000,0.016350
258,3486.000,0.016398
259,3484.000,0.016455
260,3482.000,0.016521
261,3480.000,0.016595
262,3478.000,0.016674
263,3476.000,0.016757
264,3474.000,0.016844
265,3472.000,0.016931
266,3470.000,0.017019
267,3468.000,0.017103
268,3466.000,0.017185
269,3464.000,0.017260
270,3462.000,0.017329
271,3460.000,0.017390
272,3458.000,0.017442
273,3456.000,0.017484
274,3454.000,0.017515
275,3452.000,0.017536
276,3450.000,0.017546
277,3448.000,0.017545
278,3446.000,0.017534
279,3444.000,0.017514
280,3442.000,0.017485
281,3440.000,0.017448
282,3438.000,0.017406
283,3436.000,0.017359
284,3434.000,0.017309
285,3432.000,0.017257
286,3430.000,0.017206
287,3428.000,0.017157
288,3426.000,0.017111
289,3424.000,0.017071
290,3422.000,0.017037
291,3420.000,0.017012
292,3418.000,0.016995
293,3416.000,0.016988
294,3414.000,0.016992
295,3412.000,0.017006
296,3410.000,0.017032
297,3408.000,0.017068
298,3406.000,0.017114
299,3404.000,0.017171
300,3402.000,0.017236
301,3400.000,0.017309
302,3398.000,0.017388
303,3396.000,0.017472
304,3394.000,0.017560
305,3392.000,0.017650
306,3390.000,0.017739
307,3388.000,0.017827
308,3386.000,0.017912
309,3384.000,0.017992
310,3382.000,0.018066
311,3380.000,0.018132
312,3378.000,0.018189
313,3376.000,0.018237
314,3374.000,0.018274
315,3372.000,0.018301
316,3370.000,0.018317
317,3368.000,0.018322
318,3366.000,0.018316
319,3364.000,0.018300
320,3362.000,0.018276
321,3360.000,0.018244
322,3358.000,0.018205
323,3356.000,0.018160
324,3354.000,0.018113
325,3352.000,0.018063
326,3350.000,0.018012
327,3348.000,0.017963
328,3346.000,0.017917
329,3344.000,0.017876
330,3342.000,0.017841
331,3340.000,0.017813
332,3338.000,0.017794
333,3336.000,0.017784
334,3334.000,0.017785
335,3332.000,0.017796
336,3330.000,0.017818
337,3328.000,0.017851
338,3326.000,0.017895
339,3324.000,0.017948
340,3322.000,0.018011
341,3320.000,0.018082
342,3318.000,0.018160
343,3316.000,0.018243
344,3314.000,0.018331
345,3312.000,0.018421
346,3310.000,0.018511
347,3308.000,0.018601
348,3306.000,0.018688
349,3304.000,0.018770
350,3302.000,0.018847
351,3300.000,0.018916
352,3298.000,0.018978
353,3296.000,0.019029
354,3294.000,0.019071
355,3292.000,0.019102
356,3290.000,0.019122
357,3288.000,0.019131
358,3286.000,0.019129
359,3284.000,0.019118
360,3282.000,0.019096
361,3280.000,0.019067
362,3278.000,0.019030
363,3276.000,0.018987
364,3274.000,0.018940
365,3272.000,0.018891
366,3270.000,0.018840
367,3268.000,0.018790
368,3266.000,0.018742
369,3264.000,0.018699
370,3262.000,0.018660
371,3260.000,0.018629
372,3258.000,0.018606
373,3256.000,0.018592
374,3254.000,0.018588
375,3252.000,0.018594
376,3250.000,0.018612
377,3248.000,0.018640
378,3246.000,0.018679
379,3244.000,0.018728
380,3242.000,0.018787
381,3240.000,0.018854
382,3238.000,0.018929
383,3236.000,0.019009
384,3234.000,0.019095
385,3232.000,0.019183
386,3230.000,0.019273
387,3228.000,0.019362
388,3226.000,0.019449
389,3224.000,0.019532
390,3222.000,0.019610
391,3220.000,0.019682
392,3218.000,0.019745
393,3216.000,0.019799
394,3214.000,0.019843
395,3212.000,0.019877
396,3210.000,0.019900
397,3208.000,0.019912
398,3206.000,0.019912
399,3204.000,0.019903
400,3202.000,0.019884
401,3200.000,0.019855
402,3198.000,0.019819
403,3196.000,0.019777
404,3194.000,0.019730
405,3192.000,0.019679
406,3190.000,0.019626
407,3188.000,0.019574
408,3186.000,0.019523
409,3184.000,0.019476
410,3182.000,0.019433
411,3180.000,0.019397
412,3178.000,0.019369
413,3176.000,0.019349
414,3174.000,0.019339
415,3172.000,0.019339
416,3170.000,0.019350
417,3168.000,0.019372
418,3166.000,0.019405
419,3164.000,0.019448
