Time_min,Temperature_C
0.000,19.7636
0.100,19.7651
0.200,19.7665
0.300,19.7678
0.400,19.7689
0.500,19.7700
0.600,19.7709
0.700,19.7717
0.800,19.7723
0.900,19.7727
1.000,19.7729
1.100,19.7730
1.200,19.7729
1.300,19.7726
1.400,19.7721
1.500,19.7715
1.600,19.7706
1.700,19.7695
1.800,19.7682
1.900,19.7668
2.000,19.7651
2.100,19.7633
2.200,19.7613
2.300,19.7591
2.400,19.7567
2.500,19.7542
2.600,19.7515
2.700,19.7487
2.800,19.7457
2.900,19.7427
3.000,19.7395
3.100,19.7363
3.200,19.7329
3.300,19.7295
3.400,19.7261
3.500,19.7226
3.600,19.7191
3.700,19.7155
3.800,19.7120
3.900,19.7085
4.000,19.7051
4.100,19.7016
4.200,19.6983
4.300,19.6950
4.400,19.6919
4.500,19.6888
4.600,19.6858
4.700,19.6830
4.800,19.6803
4.900,19.6778
5.000,19.6754
5.100,19.6732
5.200,19.6711
5.300,19.6693
5.400,19.6676
5.500,19.6661
5.600,19.6648
5.700,19.6637
5.800,19.6628
5.900,19.6621
6.000,19.6616
6.100,19.6613
6.200,19.6612
6.300,19.6612
6.400,19.6615
6.500,19.6619
6.600,19.6625
6.700,19.6632
6.800,19.6641
6.900,19.6651
7.000,19.6663
7.100,19.6676
7.200,19.6689
7.300,19.6704
7.400,19.6720
7.500,19.6736
7.600,19.6752
7.700,19.6769
7.800,19.6786
7.900,19.6804
8.000,19.6821
8.100,19.6838
8.200,19.6854
8.300,19.6870
8.400,19.6886
8.500,19.6900
8.600,19.6914
8.700,19.6927
8.800,19.6938
8.900,19.6948
9.000,19.6957
9.100,19.6964
9.200,19.6970
9.300,19.6974
9.400,19.6976
9.500,19.6976
9.600,19.6975
9.700,19.6972
9.800,19.6967
9.900,19.6960
10.000,19.6951
10.100,19.6940
10.200,19.6928
10.300,19.6915
10.400,19.6900
10.500,19.6884
10.600,19.6868
10.700,19.6853
10.800,19.6838
10.900,19.6826
11.000,19.6818
11.100,19.6816
11.200,19.6822
11.300,19.6841
11.400,19.6876
11.500,19.6933
11.600,19.7020
11.700,19.7145
11.800,19.7318
11.900,19.7554
12.000,19.7868
12.100,19.8278
12.200,19.8809
12.300,19.9484
12.400,20.0335
12.500,20.1394
12.600,20.2700
12.700,20.4292
12.800,20.6214
12.900,20.8513
13.000,21.1235
13.100,21.4428
13.200,21.8136
13.300,22.2401
13.400,22.7258
13.500,23.2735
13.600,23.8849
13.700,24.5604
13.800,25.2988
13.900,26.0973
14.000,26.9510
14.100,27.8532
14.200,28.7952
14.300,29.7660
14.400,30.7531
14.500,31.7420
14.600,32.7169
14.700,33.6613
14.800,34.5578
14.900,35.3891
15.000,36.1385
15.100,36.7902
15.200,37.3304
15.300,37.7469
15.400,38.0304
15.500,38.1745
15.600,38.1759
15.700,38.0346
15.800,37.7538
15.900,37.3400
16.000,36.8024
16.100,36.1531
16.200,35.4061
16.300,34.5770
16.400,33.6825
16.500,32.7399
16.600,31.7665
16.700,30.7789
16.800,29.7929
16.900,28.8229
17.000,27.8814
17.100,26.9793
17.200,26.1255
17.300,25.3266
17.400,24.5874
17.500,23.9108
17.600,23.2979
17.700,22.7484
17.800,22.2604
17.900,21.8315
18.000,21.4578
18.100,21.1354
18.200,20.8597
18.300,20.6260
18.400,20.4296
18.500,20.2660
18.600,20.1308
18.700,20.0199
18.800,19.9296
18.900,19.8566
19.000,19.7980
19.100,19.7511
19.200,19.7138
19.300,19.6841
19.400,19.6606
19.500,19.6418
19.600,19.6268
19.700,19.6147
19.800,19.6048
19.900,19.5965
20.000,19.5896
20.100,19.5835
20.200,19.5781
20.300,19.5733
20.400,19.5688
20.500,19.5646
20.600,19.5606
20.700,19.5568
20.800,19.5532
20.900,19.5496
21.000,19.5462
21.100,19.5429
21.200,19.5398
21.300,19.5367
21.400,19.5338
21.500,19.5310
21.600,19.5284
21.700,19.5259
21.800,19.5236
21.900,19.5214
22.000,19.5195
22.100,19.5177
22.200,19.5161
22.300,19.5147
22.400,19.5135
22.500,19.5125
22.600,19.5117
22.700,19.5111
22.800,19.5107
22.900,19.5104
23.000,19.5104
23.100,19.5105
23.200,19.5108
23.300,19.5113
23.400,19.5120
23.500,19.5128
23.600,19.5138
23.700,19.5148
23.800,19.5161
23.900,19.5174
24.000,19.5188
24.100,19.5203
24.200,19.5219
24.300,19.5235
24.400,19.5252
24.500,19.5269
24.600,19.5286
24.700,19.5303
24.800,19.5320
24.900,19.5337
25.000,19.5354
25.100,19.5369
25.200,19.5384
25.300,19.5399
25.400,19.5412
25.500,19.5424
25.600,19.5435
25.700,19.5444
25.800,19.5452
25.900,19.5459
26.000,19.5464
26.100,19.5467
26.200,19.5468
26.300,19.5468
26.400,19.5466
26.500,19.5461
26.600,19.5455
26.700,19.5447
26.800,19.5437
26.900,19.5425
27.000,19.5411
27.100,19.5395
27.200,19.5377
27.300,19.5357
27.400,19.5336
27.500,19.5313
27.600,19.5288
27.700,19.5262
27.800,19.5234
27.900,19.5205
28.000,19.5175
28.100,19.5144
28.200,19.5111
28.300,19.5078
28.400,19.5044
28.500,19.5010
28.600,19.4975
28.700,19.4940
28.800,19.4905
28.900,19.4870
29.000,19.4835
29.100,19.4800
29.200,19.4766
29.300,19.4732
29.400,19.4699
29.500,19.4667
29.600,19.4636
29.700,19.4606
29.800,19.4577
29.900,19.4550
30.000,19.4524
30.100,19.4500
30.200,19.4477
30.300,19.4456
30.400,19.4437
30.500,19.4419
30.600,19.4404
30.700,19.4390
30.800,19.4379
30.900,19.4369
31.000,19.4361
31.100,19.4356
31.200,19.4352
31.300,19.4350
31.400,19.4350
31.500,19.4352
31.600,19.4355
31.700,19.4361
31.800,19.4368
31.900,19.4376
32.000,19.4386
32.100,19.4397
32.200,19.4409
32.300,19.4423
32.400,19.4437
32.500,19.4452
32.600,19.4468
32.700,19.4485
32.800,19.4502
32.900,19.4519
33.000,19.4536
33.100,19.4553
33.200,19.4570
33.300,19.4587
33.400,19.4603
33.500,19.4619
33.600,19.4634
33.700,19.4648
33.800,19.4661
33.900,19.4672
34.000,19.4683
34.100,19.4692
34.200,19.4700
34.300,19.4706
34.400,19.4711
34.500,19.4713
34.600,19.4714
34.700,19.4714
34.800,19.4711
34.900,19.4706
35.000,19.4699
35.100,19.4691
35.200,19.4680
35.300,19.4668
35.400,19.4653
35.500,19.4637
35.600,19.4619
35.700,19.4599
35.800,19.4577
35.900,19.4554
36.000,19.4528
36.100,19.4502
36.200,19.4474
36.300,19.4445
36.400,19.4414
36.500,19.4383
36.600,19.4350
36.700,19.4317
36.800,19.4283
36.900,19.4248
37.000,19.4213
37.100,19.4178
37.200,19.4143
37.300,19.4108
37.400,19.4073
37.500,19.4038
37.600,19.4004
37.700,19.3970
37.800,19.3938
37.900,19.3906
38.000,19.3875
38.100,19.3845
38.200,19.3817
38.300,19.3790
38.400,19.3764
38.500,19.3740
38.600,19.3718
38.700,19.3697
38.800,19.3679
38.900,19.3662
39.000,19.3647
39.100,19.3634
39.200,19.3622
39.300,19.3613
39.400,19.3606
39.500,19.3601
39.600,19.3597
39.700,19.3596
39.800,19.3596
39.900,19.3599
40.000,19.3603
