Time_min,Temperature_C
0.000,26.4735
0.100,26.4731
0.200,26.4730
0.300,26.4733
0.400,26.4738
0.500,26.4747
0.600,26.4760
0.700,26.4776
0.800,26.4796
0.900,26.4819
1.000,26.4846
1.100,26.4877
1.200,26.4911
1.300,26.4948
1.400,26.4988
1.500,26.5031
1.600,26.5076
1.700,26.5123
1.800,26.5173
1.900,26.5224
2.000,26.5276
2.100,26.5329
2.200,26.5382
2.300,26.5436
2.400,26.5489
2.500,26.5542
2.600,26.5594
2.700,26.5645
2.800,26.5694
2.900,26.5741
3.000,26.5785
3.100,26.5827
3.200,26.5867
3.300,26.5903
3.400,26.5936
3.500,26.5966
3.600,26.5992
3.700,26.6015
3.800,26.6034
3.900,26.6049
4.000,26.6061
4.100,26.6069
4.200,26.6074
4.300,26.6076
4.400,26.6074
4.500,26.6069
4.600,26.6062
4.700,26.6052
4.800,26.6041
4.900,26.6027
5.000,26.6012
5.100,26.5995
5.200,26.5978
5.300,26.5961
5.400,26.5943
5.500,26.5926
5.600,26.5909
5.700,26.5893
5.800,26.5879
5.900,26.5866
6.000,26.5856
6.100,26.5848
6.200,26.5842
6.300,26.5839
6.400,26.5840
6.500,26.5843
6.600,26.5850
6.700,26.5861
6.800,26.5875
6.900,26.5892
7.000,26.5914
7.100,26.5939
7.200,26.5967
7.300,26.5999
7.400,26.6034
7.500,26.6072
7.600,26.6113
7.700,26.6157
7.800,26.6203
7.900,26.6252
8.000,26.6302
8.100,26.6353
8.200,26.6406
8.300,26.6459
8.400,26.6513
8.500,26.6566
8.600,26.6619
8.700,26.6672
8.800,26.6723
8.900,26.6773
9.000,26.6822
9.100,26.6868
9.200,26.6911
9.300,26.6952
9.400,26.6991
9.500,26.7026
9.600,26.7057
9.700,26.7086
9.800,26.7111
9.900,26.7132
10.000,26.7149
10.100,26.7163
10.200,26.7174
10.300,26.7180
10.400,26.7184
10.500,26.7184
10.600,26.7181
10.700,26.7176
10.800,26.7167
10.900,26.7157
11.000,26.7144
11.100,26.7130
11.200,26.7114
11.300,26.7097
11.400,26.7080
11.500,26.7062
11.600,26.7045
11.700,26.7028
11.800,26.7011
11.900,26.6996
12.000,26.6982
12.100,26.6971
12.200,26.6961
12.300,26.6954
12.400,26.6949
12.500,26.6948
12.600,26.6949
12.700,26.6954
12.800,26.6963
12.900,26.6975
13.000,26.6990
13.100,26.7009
13.200,26.7032
13.300,26.7059
13.400,26.7088
13.500,26.7122
13.600,26.7158
13.700,26.7198
13.800,26.7240
13.900,26.7285
14.000,26.7332
14.100,26.7381
14.200,26.7432
14.300,26.7485
14.400,26.7538
14.500,26.7592
14.600,26.7647
14.700,26.7701
14.800,26.7755
14.900,26.7809
15.000,26.7861
15.100,26.7913
15.200,26.7963
15.300,26.8011
15.400,26.8058
15.500,26.8103
15.600,26.8145
15.700,26.8186
15.800,26.8225
15.900,26.8262
16.000,26.8298
16.100,26.8332
16.200,26.8366
16.300,26.8400
16.400,26.8434
16.500,26.8469
16.600,26.8507
16.700,26.8547
16.800,26.8593
16.900,26.8645
17.000,26.8704
17.100,26.8773
17.200,26.8854
17.300,26.8949
17.400,26.9061
17.500,26.9193
17.600,26.9348
17.700,26.9530
17.800,26.9743
17.900,26.9991
18.000,27.0280
18.100,27.0614
18.200,27.1000
18.300,27.1445
18.400,27.1954
18.500,27.2535
18.600,27.3198
18.700,27.3949
18.800,27.4800
18.900,27.5759
19.000,27.6837
19.100,27.8046
19.200,27.9397
19.300,28.0904
19.400,28.2578
19.500,28.4434
19.600,28.6486
19.700,28.8749
19.800,29.1236
19.900,29.3965
20.000,29.6949
20.100,30.0204
20.200,30.3746
20.300,30.7590
20.400,31.1750
20.500,31.6241
20.600,32.1076
20.700,32.6267
20.800,33.1827
20.900,33.7765
21.000,34.4089
21.100,35.0807
21.200,35.7923
21.300,36.5439
21.400,37.3356
21.500,38.1671
21.600,39.0378
21.700,39.9470
21.800,40.8933
21.900,41.8754
22.000,42.8914
22.100,43.9391
22.200,45.0160
22.300,46.1191
22.400,47.2452
22.500,48.3907
22.600,49.5517
22.700,50.7239
22.800,51.9028
22.900,53.0835
23.000,54.2611
23.100,55.4301
23.200,56.5851
23.300,57.7206
23.400,58.8308
23.500,59.9101
23.600,60.9527
23.700,61.9529
23.800,62.9051
23.900,63.8039
24.000,64.6441
24.100,65.4208
24.200,66.1293
24.300,66.7652
24.400,67.3247
24.500,67.8043
24.600,68.2011
24.700,68.5124
24.800,68.7363
24.900,68.8715
25.000,68.9171
25.100,68.8727
25.200,68.7387
25.300,68.5160
25.400,68.2061
25.500,67.8108
25.600,67.3327
25.700,66.7749
25.800,66.1408
25.900,65.4344
26.000,64.6600
26.100,63.8222
26.200,62.9260
26.300,61.9767
26.400,60.9796
26.500,59.9405
26.600,58.8648
26.700,57.7584
26.800,56.6271
26.900,55.4764
27.000,54.3119
27.100,53.1392
27.200,51.9635
27.300,50.7898
27.400,49.6230
27.500,48.4675
27.600,47.3277
27.700,46.2073
27.800,45.1101
27.900,44.0392
28.000,42.9975
28.100,41.9875
28.200,41.0114
28.300,40.0710
28.400,39.1678
28.500,38.3030
28.600,37.4772
28.700,36.6911
28.800,35.9450
28.900,35.2387
29.000,34.5720
29.100,33.9445
29.200,33.3554
29.300,32.8040
29.400,32.2891
29.500,31.8096
29.600,31.3643
29.700,30.9518
29.800,30.5707
29.900,30.2195
30.000,29.8968
30.100,29.6010
30.200,29.3305
30.300,29.0839
30.400,28.8596
30.500,28.6562
30.600,28.4722
30.700,28.3063
30.800,28.1570
30.900,28.0232
31.000,27.9035
31.100,27.7969
31.200,27.7022
31.300,27.6184
31.400,27.5444
31.500,27.4795
31.600,27.4227
31.700,27.3733
31.800,27.3304
31.900,27.2936
32.000,27.2621
