Time_min,Temperature_C
0.000,21.2826
0.100,21.2832
0.200,21.2836
0.300,21.2838
0.400,21.2838
0.500,21.2835
0.600,21.2830
0.700,21.2822
0.800,21.2813
0.900,21.2801
1.000,21.2787
1.100,21.2771
1.200,21.2753
1.300,21.2733
1.400,21.2711
1.500,21.2688
1.600,21.2663
1.700,21.2636
1.800,21.2609
1.900,21.2580
2.000,21.2551
2.100,21.2520
2.200,21.2490
2.300,21.2458
2.400,21.2427
2.500,21.2396
2.600,21.2365
2.700,21.2334
2.800,21.2304
2.900,21.2274
3.000,21.2246
3.100,21.2218
3.200,21.2192
3.300,21.2167
3.400,21.2144
3.500,21.2122
3.600,21.2102
3.700,21.2084
3.800,21.2069
3.900,21.2055
4.000,21.2043
4.100,21.2033
4.200,21.2026
4.300,21.2021
4.400,21.2018
4.500,21.2018
4.600,21.2020
4.700,21.2024
4.800,21.2030
4.900,21.2039
5.000,21.2049
5.100,21.2062
5.200,21.2076
5.300,21.2092
5.400,21.2110
5.500,21.2129
5.600,21.2150
5.700,21.2172
5.800,21.2194
5.900,21.2218
6.000,21.2243
6.100,21.2267
6.200,21.2293
6.300,21.2318
6.400,21.2343
6.500,21.2368
6.600,21.2393
6.700,21.2417
6.800,21.2440
6.900,21.2463
7.000,21.2484
7.100,21.2504
7.200,21.2522
7.300,21.2539
7.400,21.2555
7.500,21.2568
7.600,21.2579
7.700,21.2589
7.800,21.2596
7.900,21.2602
8.000,21.2605
8.100,21.2605
8.200,21.2604
8.300,21.2600
8.400,21.2594
8.500,21.2586
8.600,21.2575
8.700,21.2562
8.800,21.2547
8.900,21.2530
9.000,21.2512
9.100,21.2491
9.200,21.2468
9.300,21.2444
9.400,21.2419
9.500,21.2392
9.600,21.2364
9.700,21.2335
9.800,21.2305
9.900,21.2275
10.000,21.2244
10.100,21.2212
10.200,21.2181
10.300,21.2150
10.400,21.2119
10.500,21.2088
10.600,21.2059
10.700,21.2030
10.800,21.2002
10.900,21.1975
11.000,21.1950
11.100,21.1927
11.200,21.1905
11.300,21.1886
11.400,21.1868
11.500,21.1854
11.600,21.1842
11.700,21.1834
11.800,21.1830
11.900,21.1831
12.000,21.1836
12.100,21.1848
12.200,21.1867
12.300,21.1895
12.400,21.1934
12.500,21.1986
12.600,21.2054
12.700,21.2141
12.800,21.2252
12.900,21.2392
13.000,21.2567
13.100,21.2785
13.200,21.3054
13.300,21.3386
13.400,21.3791
13.500,21.4285
13.600,21.4884
13.700,21.5605
13.800,21.6471
13.900,21.7503
14.000,21.8728
14.100,22.0173
14.200,22.1868
14.300,22.3844
14.400,22.6137
14.500,22.8778
14.600,23.1805
14.700,23.5250
14.800,23.9148
14.900,24.3529
15.000,24.8423
15.100,25.3851
15.200,25.9833
15.300,26.6380
15.400,27.3494
15.500,28.1171
15.600,28.9392
15.700,29.8130
15.800,30.7346
15.900,31.6988
16.000,32.6991
16.100,33.7278
16.200,34.7761
16.300,35.8341
16.400,36.8909
16.500,37.9349
16.600,38.9541
16.700,39.9360
16.800,40.8682
16.900,41.7383
17.000,42.5349
17.100,43.2470
