Record_ID,Time_min,Temperature_C,Mass_mg
1,0.0,25,9.8120
2,0.1,26,9.8122
3,0.2,27,9.8124
4,0.3,28,9.8125
5,0.4,29,9.8125
6,0.5,30,9.8125
7,0.6,31,9.8124
8,0.7,32,9.8124
9,0.8,33,9.8123
10,0.9,34,9.8122
11,1.0,35,9.8122
12,1.1,36,9.8123
13,1.2,37,9.8124
14,1.3,38,9.8125
15,1.4,39,9.8126
16,1.5,40,9.8127
17,1.6,41,9.8128
18,1.7,42,9.8128
19,1.8,43,9.8127
20,1.9,44,9.8125
21,2.0,45,9.8123
22,2.1,46,9.8121
23,2.2,47,9.8120
24,2.3,48,9.8118
25,2.4,49,9.8118
26,2.5,50,9.8117
27,2.6,51,9.8117
28,2.7,52,9.8118
29,2.8,53,9.8118
30,2.9,54,9.8117
31,3.0,55,9.8116
32,3.1,56,9.8115
33,3.2,57,9.8112
34,3.3,58,9.8109
35,3.4,59,9.8106
36,3.5,60,9.8103
37,3.6,61,9.8100
38,3.7,62,9.8098
39,3.8,63,9.8096
40,3.9,64,9.8094
41,4.0,65,9.8092
42,4.1,66,9.8090
43,4.2,67,9.8087
44,4.3,68,9.8083
45,4.4,69,9.8078
46,4.5,70,9.8072
47,4.6,71,9.8065
48,4.7,72,9.8056
49,4.8,73,9.8047
50,4.9,74,9.8037
51,5.0,75,9.8026
52,5.1,76,9.8015
53,5.2,77,9.8002
54,5.3,78,9.7989
55,5.4,79,9.7974
56,5.5,80,9.7957
57,5.6,81,9.7937
58,5.7,82,9.7915
59,5.8,83,9.7890
60,5.9,84,9.7862
61,6.0,85,9.7832
62,6.1,86,9.7800
63,6.2,87,9.7767
64,6.3,88,9.7732
65,6.4,89,9.7696
66,6.5,90,9.7660
67,6.6,91,9.7623
68,6.7,92,9.7586
69,6.8,93,9.7549
70,6.9,94,9.7512
71,7.0,95,9.7475
72,7.1,96,9.7439
73,7.2,97,9.7403
74,7.3,98,9.7368
75,7.4,99,9.7336
76,7.5,100,9.7305
77,7.6,101,9.7276
78,7.7,102,9.7251
79,7.8,103,9.7228
80,7.9,104,9.7207
81,8.0,105,9.7189
82,8.1,106,9.7173
83,8.2,107,9.7158
84,8.3,108,9.7144
85,8.4,109,9.7131
86,8.5,110,9.7119
87,8.6,111,9.7108
88,8.7,112,9.7097
89,8.8,113,9.7088
90,8.9,114,9.7080
91,9.0,115,9.7073
92,9.1,116,9.7068
93,9.2,117,9.7064
94,9.3,118,9.7061
95,9.4,119,9.7059
96,9.5,120,9.7057
97,9.6,121,9.7055
98,9.7,122,9.7052
99,9.8,123,9.7050
100,9.9,124,9.7047
101,10.0,125,9.7045
102,10.1,126,9.7042
103,10.2,127,9.7040
104,10.3,128,9.7039
105,10.4,129,9.7039
106,10.5,130,9.7039
107,10.6,131,9.7040
108,10.7,132,9.7041
109,10.8,133,9.7043
110,10.9,134,9.7044
111,11.0,135,9.7045
112,11.1,136,9.7045
113,11.2,137,9.7044
114,11.3,138,9.7043
115,11.4,139,9.7042
116,11.5,140,9.7042
117,11.6,141,9.7041
118,11.7,142,9.7042
119,11.8,143,9.7043
120,11.9,144,9.7044
121,12.0,145,9.7046
122,12.1,146,9.7047
123,12.2,147,9.7049
124,12.3,148,9.7050
125,12.4,149,9.7050
126,12.5,150,9.7049
127,12.6,151,9.7048
128,12.7,152,9.7046
129,12.8,153,9.7045
130,12.9,154,9.7044
131,13.0,155,9.7043
132,13.1,156,9.7043
133,13.2,157,9.7044
134,13.3,158,9.7045
135,13.4,159,9.7045
136,13.5,160,9.7046
137,13.6,161,9.7046
138,13.7,162,9.7046
139,13.8,163,9.7045
140,13.9,164,9.7043
141,14.0,165,9.7041
142,14.1,166,9.7039
143,14.2,167,9.7037
144,14.3,168,9.7036
145,14.4,169,9.7036
146,14.5,170,9.7036
147,14.6,171,9.7036
148,14.7,172,9.7037
149,14.8,173,9.7038
150,14.9,174,9.7038
151,15.0,175,9.7038
152,15.1,176,9.7038
153,15.2,177,9.7037
154,15.3,178,9.7035
155,15.4,179,9.7034
156,15.5,180,9.7033
157,15.6,181,9.7032
158,15.7,182,9.7032
159,15.8,183,9.7033
160,15.9,184,9.7034
161,16.0,185,9.7036
162,16.1,186,9.7038
163,16.2,187,9.7039
164,16.3,188,9.7040
165,16.4,189,9.7041
166,16.5,190,9.7041
167,16.6,191,9.7040
168,16.7,192,9.7039
169,16.8,193,9.7039
170,16.9,194,9.7038
171,17.0,195,9.7039
172,17.1,196,9.7040
173,17.2,197,9.7041
174,17.3,198,9.7043
175,17.4,199,9.7045
176,17.5,200,9.7046
177,17.6,201,9.7048
178,17.7,202,9.7048
179,17.8,203,9.7048
180,17.9,204,9.7047
181,18.0,205,9.7046
182,18.1,206,9.7045
183,18.2,207,9.7044
184,18.3,208,9.7043
185,18.4,209,9.7043
186,18.5,210,9.7044
187,18.6,211,9.7044
188,18.7,212,9.7045
189,18.8,213,9.7046
190,18.9,214,9.7047
191,19.0,215,9.7047
192,19.1,216,9.7046
193,19.2,217,9.7044
194,19.3,218,9.7042
195,19.4,219,9.7040
196,19.5,220,9.7038
197,19.6,221,9.7037
198,19.7,222,9.7036
199,19.8,223,9.7035
