Record_ID,Time_min,Temperature_C,Mass_mg
1,0.0,25,7.8560
2,0.1,26,7.8562
3,0.2,27,7.8563
4,0.3,28,7.8564
5,0.4,29,7.8564
6,0.5,30,7.8564
7,0.6,31,7.8564
8,0.7,32,7.8563
9,0.8,33,7.8562
10,0.9,34,7.8562
11,1.0,35,7.8562
12,1.1,36,7.8562
13,1.2,37,7.8563
14,1.3,38,7.8564
15,1.4,39,7.8565
16,1.5,40,7.8566
17,1.6,41,7.8566
18,1.7,42,7.8566
19,1.8,43,7.8565
20,1.9,44,7.8564
21,2.0,45,7.8562
22,2.1,46,7.8560
23,2.2,47,7.8559
24,2.3,48,7.8558
25,2.4,49,7.8557
26,2.5,50,7.8556
27,2.6,51,7.8556
28,2.7,52,7.8556
29,2.8,53,7.8556
30,2.9,54,7.8555
31,3.0,55,7.8554
32,3.1,56,7.8552
33,3.2,57,7.8549
34,3.3,58,7.8546
35,3.4,59,7.8542
36,3.5,60,7.8538
37,3.6,61,7.8535
38,3.7,62,7.8531
39,3.8,63,7.8528
40,3.9,64,7.8524
41,4.0,65,7.8520
42,4.1,66,7.8515
43,4.2,67,7.8509
44,4.3,68,7.8502
45,4.4,69,7.8493
46,4.5,70,7.8483
47,4.6,71,7.8471
48,4.7,72,7.8458
49,4.8,73,7.8443
50,4.9,74,7.8428
51,5.0,75,7.8413
52,5.1,76,7.8396
53,5.2,77,7.8380
54,5.3,78,7.8363
55,5.4,79,7.8345
56,5.5,80,7.8327
57,5.6,81,7.8308
58,5.7,82,7.8289
59,5.8,83,7.8270
60,5.9,84,7.8252
61,6.0,85,7.8234
62,6.1,86,7.8218
63,6.2,87,7.8202
64,6.3,88,7.8189
65,6.4,89,7.8177
66,6.5,90,7.8167
67,6.6,91,7.8158
68,6.7,92,7.8150
69,6.8,93,7.8143
70,6.9,94,7.8137
71,7.0,95,7.8131
72,7.1,96,7.8126
73,7.2,97,7.8120
74,7.3,98,7.8115
75,7.4,99,7.8110
76,7.5,100,7.8106
77,7.6,101,7.8103
78,7.7,102,7.8100
79,7.8,103,7.8099
80,7.9,104,7.8098
81,8.0,105,7.8097
82,8.1,106,7.8096
83,8.2,107,7.8096
84,8.3,108,7.8094
85,8.4,109,7.8093
86,8.5,110,7.8091
87,8.6,111,7.8089
88,8.7,112,7.8087
89,8.8,113,7.8086
90,8.9,114,7.8084
91,9.0,115,7.8084
92,9.1,116,7.8084
93,9.2,117,7.8084
94,9.3,118,7.8085
95,9.4,119,7.8086
96,9.5,120,7.8086
97,9.6,121,7.8087
98,9.7,122,7.8087
99,9.8,123,7.8086
100,9.9,124,7.8086
101,10.0,125,7.8085
102,10.1,126,7.8084
103,10.2,127,7.8084
104,10.3,128,7.8084
105,10.4,129,7.8084
106,10.5,130,7.8086
107,10.6,131,7.8087
108,10.7,132,7.8089
109,10.8,133,7.8090
110,10.9,134,7.8091
111,11.0,135,7.8092
112,11.1,136,7.8092
113,11.2,137,7.8092
114,11.3,138,7.8091
115,11.4,139,7.8090
116,11.5,140,7.8090
117,11.6,141,7.8090
118,11.7,142,7.8090
119,11.8,143,7.8091
120,11.9,144,7.8093
121,12.0,145,7.8094
122,12.1,146,7.8095
123,12.2,147,7.8096
124,12.3,148,7.8096
125,12.4,149,7.8095
126,12.5,150,7.8094
127,12.6,151,7.8093
128,12.7,152,7.8092
129,12.8,153,7.8090
130,12.9,154,7.8090
