Record_ID,Time_min,Temperature_C,Mass_mg
1,0.0,25,11.2430
2,0.1,26,11.2432
3,0.2,27,11.2434
4,0.3,28,11.2435
5,0.4,29,11.2436
6,0.5,30,11.2435
7,0.6,31,11.2435
8,0.7,32,11.2433
9,0.8,33,11.2432
10,0.9,34,11.2431
11,1.0,35,11.2431
12,1.1,36,11.2432
13,1.2,37,11.2433
14,1.3,38,11.2434
15,1.4,39,11.2435
16,1.5,40,11.2436
17,1.6,41,11.2436
18,1.7,42,11.2436
19,1.8,43,11.2434
20,1.9,44,11.2432
21,2.0,45,11.2429
22,2.1,46,11.2427
23,2.2,47,11.2424
24,2.3,48,11.2422
25,2.4,49,11.2420
26,2.5,50,11.2420
27,2.6,51,11.2419
28,2.7,52,11.2419
29,2.8,53,11.2418
30,2.9,54,11.2416
31,3.0,55,11.2414
32,3.1,56,11.2411
33,3.2,57,11.2408
34,3.3,58,11.2403
35,3.4,59,11.2398
36,3.5,60,11.2394
37,3.6,61,11.2389
38,3.7,62,11.2386
39,3.8,63,11.2382
40,3.9,64,11.2379
41,4.0,65,11.2376
42,4.1,66,11.2372
43,4.2,67,11.2368
44,4.3,68,11.2363
45,4.4,69,11.2356
46,4.5,70,11.2348
47,4.6,71,11.2339
48,4.7,72,11.2329
49,4.8,73,11.2318
50,4.9,74,11.2307
51,5.0,75,11.2296
52,5.1,76,11.2284
53,5.2,77,11.2272
54,5.3,78,11.2259
55,5.4,79,11.2245
56,5.5,80,11.2229
57,5.6,81,11.2210
58,5.7,82,11.2190
59,5.8,83,11.2167
60,5.9,84,11.2141
61,6.0,85,11.2113
62,6.1,86,11.2082
63,6.2,87,11.2050
64,6.3,88,11.2016
65,6.4,89,11.1980
66,6.5,90,11.1942
67,6.6,91,11.1903
68,6.7,92,11.1860
69,6.8,93,11.1815
70,6.9,94,11.1767
71,7.0,95,11.1715
72,7.1,96,11.1660
73,7.2,97,11.1603
74,7.3,98,11.1542
75,7.4,99,11.1479
76,7.5,100,11.1415
77,7.6,101,11.1349
78,7.7,102,11.1283
79,7.8,103,11.1217
80,7.9,104,11.1151
81,8.0,105,11.1084
82,8.1,106,11.1017
83,8.2,107,11.0951
84,8.3,108,11.0884
85,8.4,109,11.0818
86,8.5,110,11.0752
87,8.6,111,11.0687
88,8.7,112,11.0624
89,8.8,113,11.0563
90,8.9,114,11.0505
91,9.0,115,11.0450
92,9.1,116,11.0398
93,9.2,117,11.0349
94,9.3,118,11.0304
95,9.4,119,11.0261
96,9.5,120,11.0221
97,9.6,121,11.0182
98,9.7,122,11.0146
99,9.8,123,11.0111
100,9.9,124,11.0078
101,10.0,125,11.0048
102,10.1,126,11.0019
103,10.2,127,10.9993
104,10.3,128,10.9970
105,10.4,129,10.9949
106,10.5,130,10.9931
107,10.6,131,10.9915
108,10.7,132,10.9901
109,10.8,133,10.9888
110,10.9,134,10.9875
111,11.0,135,10.9864
112,11.1,136,10.9852
113,11.2,137,10.9841
114,11.3,138,10.9831
115,11.4,139,10.9821
116,11.5,140,10.9813
117,11.6,141,10.9805
118,11.7,142,10.9799
119,11.8,143,10.9794
120,11.9,144,10.9791
121,12.0,145,10.9787
122,12.1,146,10.9785
123,12.2,147,10.9782
124,12.3,148,10.9779
125,12.4,149,10.9775
126,12.5,150,10.9771
127,12.6,151,10.9767
128,12.7,152,10.9762
129,12.8,153,10.9758
130,12.9,154,10.9755
131,13.0,155,10.9752
132,13.1,156,10.9751
133,13.2,157,10.9750
134,13.3,158,10.9749
135,13.4,159,10.9749
136,13.5,160,10.9748
137,13.6,161,10.9747
138,13.7,162,10.9745
139,13.8,163,10.9743
140,13.9,164,10.9740
141,14.0,165,10.9737
142,14.1,166,10.9734
143,14.2,167,10.9732
144,14.3,168,10.9730
145,14.4,169,10.9729
146,14.5,170,10.9729
147,14.6,171,10.9730
148,14.7,172,10.9731
149,14.8,173,10.9732
150,14.9,174,10.9732
151,15.0,175,10.9732
152,15.1,176,10.9731
153,15.2,177,10.9729
154,15.3,178,10.9728
155,15.4,179,10.9726
156,15.5,180,10.9725
157,15.6,181,10.9724
158,15.7,182,10.9725
159,15.8,183,10.9726
160,15.9,184,10.9728
161,16.0,185,10.9730
162,16.1,186,10.9732
163,16.2,187,10.9733
164,16.3,188,10.9734
165,16.4,189,10.9735
166,16.5,190,10.9734
167,16.6,191,10.9734
168,16.7,192,10.9733
169,16.8,193,10.9732
170,16.9,194,10.9732
171,17.0,195,10.9732
172,17.1,196,10.9733
173,17.2,197,10.9735
174,17.3,198,10.9737
175,17.4,199,10.9739
176,17.5,200,10.9741
177,17.6,201,10.9742
178,17.7,202,10.9742
179,17.8,203,10.9741
180,17.9,204,10.9739
181,18.0,205,10.9738
182,18.1,206,10.9736
183,18.2,207,10.9735
184,18.3,208,10.9734
185,18.4,209,10.9734
186,18.5,210,10.9734
187,18.6,211,10.9735
188,18.7,212,10.9736
189,18.8,213,10.9737
190,18.9,214,10.9737
191,19.0,215,10.9736
192,19.1,216,10.9735
193,19.2,217,10.9732
194,19.3,218,10.9730
195,19.4,219,10.9727
196,19.5,220,10.9725
197,19.6,221,10.9724
198,19.7,222,10.9723
199,19.8,223,10.9723
200,19.9,224,10.9723
201,20.0,225,10.9724
202,20.1,226,10.9725
203,20.2,227,10.9725
204,20.3,228,10.9725
205,20.4,229,10.9724
206,20.5,230,10.9722
207,20.6,231,10.9720
208,20.7,232,10.9719
209,20.8,233,10.9717
210,20.9,234,10.9716
211,21.0,235,10.9715
212,21.1,236,10.9716
213,21.2,237,10.9717
214,21.3,238,10.9718
215,21.4,239,10.9720
216,21.5,240,10.9721
217,21.6,241,10.9722
218,21.7,242,10.9721
219,21.8,243,10.9721
220,21.9,244,10.9719
221,22.0,245,10.9718
222,22.1,246,10.9716
223,22.2,247,10.9715
224,22.3,248,10.9714
225,22.4,249,10.9714
226,22.5,250,10.9715
227,22.6,251,10.9716
228,22.7,252,10.9716
229,22.8,253,10.9717
230,22.9,254,10.9717
231,23.0,255,10.9715
232,23.1,256,10.9713
233,23.2,257,10.9711
234,23.3,258,10.9707
235,23.4,259,10.9704
236,23.5,260,10.9700
237,23.6,261,10.9697
238,23.7,262,10.9695
239,23.8,263,10.9693
240,23.9,264,10.9691
241,24.0,265,10.9689
242,24.1,266,10.9687
243,24.2,267,10.9684
244,24.3,268,10.9680
245,24.4,269,10.9675
246,24.5,270,10.9669
247,24.6,271,10.9663
248,24.7,272,10.9656
249,24.8,273,10.9649
250,24.9,274,10.9642
251,25.0,275,10.9636
252,25.1,276,10.9630
253,25.2,277,10.9624
254,25.3,278,10.9618
255,25.4,279,10.9612
256,25.5,280,10.9605
257,25.6,281,10.9597
258,25.7,282,10.9587
259,25.8,283,10.9577
260,25.9,284,10.9566
261,26.0,285,10.9553
262,26.1,286,10.9541
263,26.2,287,10.9528
264,26.3,288,10.9515
265,26.4,289,10.9503
266,26.5,290,10.9490
267,26.6,291,10.9477
268,26.7,292,10.9462
269,26.8,293,10.9447
270,26.9,294,10.9430
271,27.0,295,10.9412
272,27.1,296,10.9391
273,27.2,297,10.9369
274,27.3,298,10.9345
275,27.4,299,10.9319
276,27.5,300,10.9292
277,27.6,301,10.9265
278,27.7,302,10.9236
279,27.8,303,10.9206
280,27.9,304,10.9174
281,28.0,305,10.9141
282,28.1,306,10.9105
283,28.2,307,10.9066
284,28.3,308,10.9024
285,28.4,309,10.8978
286,28.5,310,10.8929
287,28.6,311,10.8876
288,28.7,312,10.8820
289,28.8,313,10.8760
290,28.9,314,10.8698
291,29.0,315,10.8632
292,29.1,316,10.8563
293,29.2,317,10.8490
294,29.3,318,10.8412
295,29.4,319,10.8329
296,29.5,320,10.8241
297,29.6,321,10.8147
298,29.7,322,10.8046
299,29.8,323,10.7938
300,29.9,324,10.7823
301,30.0,325,10.7702
302,30.1,326,10.7573
303,30.2,327,10.7437
304,30.3,328,10.7293
305,30.4,329,10.7142
306,30.5,330,10.6983
307,30.6,331,10.6814
308,30.7,332,10.6636
309,30.8,333,10.6447
310,30.9,334,10.6247
311,31.0,335,10.6034
312,31.1,336,10.5809
313,31.2,337,10.5570
314,31.3,338,10.5318
315,31.4,339,10.5053
316,31.5,340,10.4773
317,31.6,341,10.4479
318,31.7,342,10.4170
319,31.8,343,10.3845
320,31.9,344,10.3503
321,32.0,345,10.3144
322,32.1,346,10.2767
323,32.2,347,10.2370
324,32.3,348,10.1952
325,32.4,349,10.1514
326,32.5,350,10.1054
327,32.6,351,10.0572
328,32.7,352,10.0068
329,32.8,353,9.9542
330,32.9,354,9.8993
331,33.0,355,9.8421
332,33.1,356,9.7827
333,33.2,357,9.7208
334,33.3,358,9.6566
335,33.4,359,9.5899
336,33.5,360,9.5207
337,33.6,361,9.4490
338,33.7,362,9.3748
339,33.8,363,9.2981
340,33.9,364,9.2190
341,34.0,365,9.1375
342,34.1,366,9.0538
343,34.2,367,8.9680
344,34.3,368,8.8801
345,34.4,369,8.7903
346,34.5,370,8.6987
347,34.6,371,8.6054
348,34.7,372,8.5104
349,34.8,373,8.4139
350,34.9,374,8.3161
351,35.0,375,8.2170
352,35.1,376,8.1169
353,35.2,377,8.0159
354,35.3,378,7.9143
355,35.4,379,7.8123
356,35.5,380,7.7102
357,35.6,381,7.6081
358,35.7,382,7.5062
359,35.8,383,7.4048
360,35.9,384,7.3041
361,36.0,385,7.2041
362,36.1,386,7.1051
363,36.2,387,7.0071
364,36.3,388,6.9104
365,36.4,389,6.8151
366,36.5,390,6.7213
367,36.6,391,6.6292
368,36.7,392,6.5390
369,36.8,393,6.4508
370,36.9,394,6.3648
371,37.0,395,6.2810
372,37.1,396,6.1995
373,37.2,397,6.1203
374,37.3,398,6.0436
375,37.4,399,5.9692
376,37.5,400,5.8972
377,37.6,401,5.8276
378,37.7,402,5.7604
379,37.8,403,5.6955
380,37.9,404,5.6330
381,38.0,405,5.5729
382,38.1,406,5.5152
383,38.2,407,5.4598
384,38.3,408,5.4068
385,38.4,409,5.3561
386,38.5,410,5.3077
387,38.6,411,5.2614
388,38.7,412,5.2172
389,38.8,413,5.1750
390,38.9,414,5.1347
391,39.0,415,5.0961
392,39.1,416,5.0593
393,39.2,417,5.0241
394,39.3,418,4.9907
395,39.4,419,4.9588
396,39.5,420,4.9285
397,39.6,421,4.8997
398,39.7,422,4.8724
399,39.8,423,4.8464
400,39.9,424,4.8218
401,40.0,425,4.7984
402,40.1,426,4.7761
403,40.2,427,4.7549
404,40.3,428,4.7346
405,40.4,429,4.7152
406,40.5,430,4.6966
407,40.6,431,4.6789
408,40.7,432,4.6619
409,40.8,433,4.6458
410,40.9,434,4.6304
411,41.0,435,4.6158
412,41.1,436,4.6019
413,41.2,437,4.5886
414,41.3,438,4.5758
415,41.4,439,4.5636
416,41.5,440,4.5518
417,41.6,441,4.5403
418,41.7,442,4.5292
419,41.8,443,4.5183
420,41.9,444,4.5077
421,42.0,445,4.4975
422,42.1,446,4.4875
423,42.2,447,4.4778
424,42.3,448,4.4683
425,42.4,449,4.4592
426,42.5,450,4.4502
427,42.6,451,4.4414
428,42.7,452,4.4327
429,42.8,453,4.4240
430,42.9,454,4.4153
431,43.0,455,4.4066
432,43.1,456,4.3978
433,43.2,457,4.3889
434,43.3,458,4.3800
435,43.4,459,4.3710
436,43.5,460,4.3619
437,43.6,461,4.3528
438,43.7,462,4.3437
439,43.8,463,4.3344
440,43.9,464,4.3250
441,44.0,465,4.3155
442,44.1,466,4.3056
443,44.2,467,4.2955
444,44.3,468,4.2850
445,44.4,469,4.2742
446,44.5,470,4.2630
447,44.6,471,4.2514
448,44.7,472,4.2395
449,44.8,473,4.2272
450,44.9,474,4.2147
451,45.0,475,4.2017
452,45.1,476,4.1885
453,45.2,477,4.1748
454,45.3,478,4.1606
455,45.4,479,4.1460
456,45.5,480,4.1308
457,45.6,481,4.1150
458,45.7,482,4.0987
459,45.8,483,4.0816
460,45.9,484,4.0640
461,46.0,485,4.0458
462,46.1,486,4.0271
463,46.2,487,4.0077
464,46.3,488,3.9879
465,46.4,489,3.9674
466,46.5,490,3.9464
467,46.6,491,3.9248
468,46.7,492,3.9025
469,46.8,493,3.8796
470,46.9,494,3.8559
471,47.0,495,3.8315
472,47.1,496,3.8064
473,47.2,497,3.7805
474,47.3,498,3.7540
475,47.4,499,3.7269
476,47.5,500,3.6992
477,47.6,501,3.6710
478,47.7,502,3.6422
479,47.8,503,3.6129
480,47.9,504,3.5831
481,48.0,505,3.5527
482,48.1,506,3.5217
483,48.2,507,3.4902
484,48.3,508,3.4582
485,48.4,509,3.4256
486,48.5,510,3.3926
487,48.6,511,3.3591
488,48.7,512,3.3253
489,48.8,513,3.2912
490,48.9,514,3.2569
491,49.0,515,3.2224
492,49.1,516,3.1878
493,49.2,517,3.1530
494,49.3,518,3.1182
495,49.4,519,3.0832
496,49.5,520,3.0482
497,49.6,521,3.0131
498,49.7,522,2.9780
499,49.8,523,2.9429
500,49.9,524,2.9079
501,50.0,525,2.8731
502,50.1,526,2.8385
503,50.2,527,2.8042
504,50.3,528,2.7703
505,50.4,529,2.7368
506,50.5,530,2.7037
507,50.6,531,2.6711
508,50.7,532,2.6388
509,50.8,533,2.6070
510,50.9,534,2.5756
511,51.0,535,2.5447
512,51.1,536,2.5142
513,51.2,537,2.4843
514,51.3,538,2.4549
515,51.4,539,2.4261
